State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2002 - 2003,"56,000.00","48,000.00",0.86,,,,,,,,,,,,,,,
,,2003 - 2004,"62,000.00","1,10,000.00",1.77,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"10,000.00","8,000.00",0.8,,,,"3,000.00","3,000.00",1,"54,000.00","96,000.00",1.78,,,
,,2005 - 2006,,,,"7,000.00","4,000.00",0.57,,,,"5,000.00","7,000.00",1.4,"39,000.00","60,000.00",1.54,,,
,,2006 - 2007,,,,"9,000.00","8,000.00",0.89,,,,"3,000.00","4,000.00",1.33,"52,000.00","97,000.00",1.87,,,
,,2007 - 2008,,,,"8,000.00","8,000.00",1,,,,"4,000.00","7,000.00",1.75,"59,000.00","1,16,000.00",1.97,,,
,,2008 - 2009,,,,"9,000.00","8,000.00",0.89,,,,"2,000.00","3,000.00",1.5,"52,000.00","86,000.00",1.65,,,
,,2009 - 2010,,,,"7,000.00","6,000.00",0.86,,,,"4,000.00","7,000.00",1.75,"60,000.00","1,14,000.00",1.9,,,
,,2010 - 2011,,,,"8,000.00","8,000.00",1,,,,"3,000.00","6,000.00",2,"49,000.00","1,12,000.00",2.29,,,
,,2011 - 2012,,,,"6,000.00","5,000.00",0.83,,,,"1,000.00","2,000.00",2,"52,000.00","67,000.00",1.29,,,
,,2012 - 2013,,,,"7,000.00","7,000.00",1,,,,"1,15,000.00","3,000.00",0.03,"48,000.00","1,08,000.00",2.25,,,
,,2013 - 2014,,,,"7,000.00","7,000.00",1,,,,"4,000.00","9,000.00",2.25,"57,000.00","1,53,000.00",2.68,,,
,,2014 - 2015,,,,"6,000.00","7,000.00",1.17,,,,"5,000.00","15,000.00",3,"54,000.00","1,61,000.00",2.98,,,
,,2015 - 2016,,,,"5,000.00","3,000.00",0.6,,,,"2,000.00","4,000.00",2,"45,000.00","54,000.00",1.2,,,
,,2016 - 2017,,,,"2,770.00","2,470.00",0.89,,,,"1,930.00","4,400.00",2.28,"56,690.00","1,37,230.00",2.42,,,
,,2017 - 2018,,,,"3,190.00","4,220.00",1.32,,,,"2,050.00","5,690.00",2.78,"47,670.00","1,17,540.00",2.47,,,
,,2018 - 2019,,,,910,"1,770.00",1.95,,,,"3,100.00","9,370.00",3.02,"46,260.00","1,17,080.00",2.53,,,
,,2019 - 2020,,,,"1,610.00","3,660.00",2.27,,,,"3,310.00","11,760.00",3.55,"52,130.00","1,72,310.00",3.31,,,
,,2020 - 2021,,,,910,"1,780.00",1.96,,,,"2,470.00","7,280.00",2.95,"48,440.00","1,39,930.00",2.89,,,
,,2021 - 2022,,,,723,"1,459.50",2.02,,,,"1,435.00","3,396.10",2.37,"58,974.00","1,81,050.80",3.07,,,
,,2022 - 2023,,,,50,60,1.2,,,,430,"1,050.00",2.44,"48,570.00","1,56,900.00",3.23,,,
,28. Sambalpur,2000 - 2001,,,,"45,440.00","13,670.00",0.3,,,,"9,810.00","22,750.00",2.32,"81,790.00","62,090.00",0.76,,,
,,2001 - 2002,"1,45,000.00","2,69,000.00",1.86,,,,,,,,,,,,,,,
,,2002 - 2003,"1,39,000.00","1,57,000.00",1.13,,,,,,,,,,,,,,,
,,2003 - 2004,"1,45,000.00","2,57,000.00",1.77,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"44,000.00","38,000.00",0.86,,,,"22,000.00","77,000.00",3.5,"94,000.00","1,40,000.00",1.49,,,
,,2005 - 2006,,,,"44,000.00","52,000.00",1.18,,,,"18,000.00","51,000.00",2.83,"89,000.00","1,91,000.00",2.15,,,
,,2006 - 2007,,,,"43,000.00","58,000.00",1.35,,,,"16,000.00","55,000.00",3.44,"85,000.00","1,75,000.00",2.06,,,
,,2007 - 2008,,,,"40,000.00","57,000.00",1.43,,,,"18,000.00","58,000.00",3.22,"90,000.00","2,01,000.00",2.23,,,
,,2008 - 2009,,,,"46,000.00","65,000.00",1.41,,,,"20,000.00","75,000.00",3.75,"85,000.00","1,92,000.00",2.26,,,
,,2009 - 2010,,,,"40,000.00","28,000.00",0.7,,,,"18,000.00","55,000.00",3.06,"82,000.00","97,000.00",1.18,,,
,,2010 - 2011,,,,"43,000.00","17,000.00",0.4,,,,"23,000.00","83,000.00",3.61,"87,000.00","1,22,000.00",1.4,,,
,,2011 - 2012,,,,"36,000.00","31,000.00",0.86,,,,"18,000.00","69,000.00",3.83,"83,000.00","1,44,000.00",1.73,,,
,,2012 - 2013,,,,"39,000.00","79,000.00",2.03,,,,"3,45,000.00","71,000.00",0.21,"81,000.00","2,66,000.00",3.28,,,
,,2013 - 2014,,,,"44,000.00","50,000.00",1.14,,,,"22,000.00","95,000.00",4.32,"96,000.00","1,78,000.00",1.85,,,
,,2014 - 2015,,,,"47,000.00","67,000.00",1.43,,,,"24,000.00","91,000.00",3.79,"1,03,000.00","2,65,000.00",2.57,,,
,,2015 - 2016,,,,"49,000.00","28,000.00",0.57,,,,"8,000.00","29,000.00",3.63,"91,000.00","98,000.00",1.08,,,
,,2016 - 2017,,,,"37,850.00","42,310.00",1.12,,,,"10,270.00","40,580.00",3.95,"1,11,940.00","2,24,040.00",2,,,
,,2017 - 2018,,,,"46,920.00","35,220.00",0.75,,,,"7,920.00","31,980.00",4.04,"82,540.00","84,250.00",1.02,,,
,,2018 - 2019,,,,"52,710.00","23,600.00",0.45,,,,"11,110.00","49,810.00",4.48,"71,520.00","72,670.00",1.02,,,
,,2019 - 2020,,,,"37,370.00","65,410.00",1.75,,,,"11,550.00","40,550.00",3.51,"79,090.00","2,28,920.00",2.89,,,
,,2020 - 2021,,,,"39,420.00","96,120.00",2.44,,,,"16,950.00","77,440.00",4.57,"80,300.00","2,41,030.00",3,,,
,,2021 - 2022,,,,"42,194.00","66,375.30",1.57,,,,"10,601.00","51,298.20",4.84,"84,294.00","2,09,213.60",2.48,,,
,,2022 - 2023,,,,"38,620.00","47,630.00",1.23,,,,"11,400.00","51,770.00",4.54,"75,790.00","2,44,210.00",3.22,,,
,29. Sonepur,2000 - 2001,,,,"14,450.00","7,940.00",0.55,,,,"16,860.00","36,140.00",2.14,"72,100.00","90,440.00",1.25,,,
,,2001 - 2002,"1,17,000.00","2,21,000.00",1.89,,,,,,,,,,,,,,,
,,2002 - 2003,"1,22,000.00","1,29,000.00",1.06,,,,,,,,,,,,,,,
,,2003 - 2004,"1,17,000.00","1,73,000.00",1.48,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"14,000.00","12,000.00",0.86,,,,"23,000.00","56,000.00",2.43,"82,000.00","1,37,000.00",1.67,,,
,,2005 - 2006,,,,"13,000.00","16,000.00",1.23,,,,"21,000.00","51,000.00",2.43,"86,000.00","1,85,000.00",2.15,,,
,,2006 - 2007,,,,"16,000.00","20,000.00",1.25,,,,"29,000.00","63,000.00",2.17,"88,000.00","1,93,000.00",2.19,,,
,,2007 - 2008,,,,"14,000.00","14,000.00",1,,,,"26,000.00","71,000.00",2.73,"85,000.00","1,66,000.00",1.95,,,
,,2008 - 2009,,,,"15,000.00","16,000.00",1.07,,,,"29,000.00","88,000.00",3.03,"82,000.00","1,39,000.00",1.7,,,
,,2009 - 2010,,,,"16,000.00","17,000.00",1.06,,,,"28,000.00","87,000.00",3.11,"84,000.00","1,91,000.00",2.27,,,
,,2010 - 2011,,,,"14,000.00","12,000.00",0.86,,,,"27,000.00","91,000.00",3.37,"87,000.00","2,05,000.00",2.36,,,
,,2011 - 2012,,,,"16,000.00","7,000.00",0.44,,,,"31,000.00","1,34,000.00",4.32,"85,000.00","1,45,000.00",1.71,,,
,,2012 - 2013,,,,"14,000.00","36,000.00",2.57,,,,"4,48,000.00","1,13,000.00",0.25,"88,000.00","4,12,000.00",4.68,,,
,,2013 - 2014,,,,"15,000.00","24,000.00",1.6,,,,"28,000.00","1,10,000.00",3.93,"94,000.00","2,86,000.00",3.04,,,
,,2014 - 2015,,,,"17,000.00","36,000.00",2.12,,,,"27,000.00","1,06,000.00",3.93,"84,000.00","2,90,000.00",3.45,,,
,,2015 - 2016,,,,"17,000.00","9,000.00",0.53,,,,"29,000.00","1,13,000.00",3.9,"86,000.00","2,09,000.00",2.43,,,
,,2016 - 2017,,,,"12,660.00","21,970.00",1.74,,,,"30,790.00","1,28,260.00",4.17,"91,150.00","2,96,450.00",3.25,,,
,,2017 - 2018,,,,"15,980.00","13,950.00",0.87,,,,"32,850.00","1,24,340.00",3.79,"79,290.00","1,62,210.00",2.05,,,
,,2018 - 2019,,,,"15,070.00","27,300.00",1.81,,,,"35,480.00","1,54,010.00",4.34,"90,260.00","2,44,040.00",2.7,,,
,,2019 - 2020,,,,"17,030.00","44,580.00",2.62,,,,"38,200.00","1,56,670.00",4.1,"96,450.00","3,07,330.00",3.19,,,
,,2020 - 2021,,,,"20,210.00","51,610.00",2.55,,,,"36,150.00","1,54,970.00",4.29,"96,160.00","3,38,290.00",3.52,,,
,,2021 - 2022,,,,"10,358.00","15,511.70",1.5,,,,"33,464.00","1,34,814.80",4.03,"88,083.00","3,02,937.30",3.44,,,
,,2022 - 2023,,,,"6,980.00","14,060.00",2.01,,,,"37,010.00","1,49,170.00",4.03,"1,05,340.00","3,92,250.00",3.72,,,
,30. Sundargarh,2000 - 2001,,,,"1,03,760.00","43,340.00",0.42,,,,"2,220.00","3,330.00",1.5,"1,16,280.00","74,560.00",0.64,,,
,,2001 - 2002,"2,47,000.00","2,43,000.00",0.98,,,,,,,,,,,,,,,
,,2002 - 2003,"2,26,000.00","74,000.00",0.33,,,,,,,,,,,,,,,
,,2003 - 2004,"2,42,000.00","2,49,000.00",1.03,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"1,03,000.00","79,000.00",0.77,,,,"4,000.00","6,000.00",1.5,"1,26,000.00","1,60,000.00",1.27,,,
,,2005 - 2006,,,,"88,000.00","69,000.00",0.78,,,,"1,000.00","2,000.00",2,"1,23,000.00","1,70,000.00",1.38,,,
,,2006 - 2007,,,,"1,01,000.00","92,000.00",0.91,,,,"1,000.00","2,000.00",2,"1,22,000.00","1,79,000.00",1.47,,,
,,2007 - 2008,,,,"96,000.00","1,10,000.00",1.15,,,,"2,000.00","4,000.00",2,"1,18,000.00","1,87,000.00",1.58,,,
,,2008 - 2009,,,,"96,000.00","1,06,000.00",1.1,,,,"1,000.00","3,000.00",3,"1,21,000.00","1,87,000.00",1.55,,,
,,2009 - 2010,,,,"88,000.00","51,000.00",0.58,,,,,,,"1,18,000.00","94,000.00",0.8,,,
,,2010 - 2011,,,,"93,000.00","30,000.00",0.32,,,,"1,000.00",,0,"1,18,000.00","1,08,000.00",0.92,,,
,,2011 - 2012,,,,"78,000.00","92,000.00",1.18,,,,"2,000.00","3,000.00",1.5,"1,13,000.00","2,46,000.00",2.18,,,
,,2012 - 2013,,,,"84,000.00","1,56,000.00",1.86,,,,"4,72,000.00","2,000.00",0,"1,19,000.00","3,16,000.00",2.66,,,
,,2013 - 2014,,,,"86,000.00","1,31,000.00",1.52,,,,"2,000.00","5,000.00",2.5,"1,23,000.00","2,76,000.00",2.24,,,
,,2014 - 2015,,,,"77,000.00","1,50,000.00",1.95,,,,"1,000.00","2,000.00",2,"1,18,000.00","3,45,000.00",2.92,,,
,,2015 - 2016,,,,"80,000.00","71,000.00",0.89,,,,"1,000.00","1,000.00",1,"1,14,000.00","1,56,000.00",1.37,,,
,,2016 - 2017,,,,"79,950.00","93,540.00",1.17,,,,90,130,1.44,"1,27,700.00","2,58,690.00",2.03,,,
,,2017 - 2018,,,,"91,410.00","1,37,980.00",1.51,,,,160,270,1.69,"1,07,390.00","2,11,720.00",1.97,,,
,,2018 - 2019,,,,"85,370.00","85,170.00",1,,,,240,530,2.21,"98,650.00","1,32,090.00",1.34,,,
,,2019 - 2020,,,,"78,090.00","1,16,660.00",1.49,,,,"1,040.00","1,440.00",1.38,"1,13,770.00","2,16,840.00",1.91,,,
,,2020 - 2021,,,,"68,760.00","1,42,780.00",2.08,,,,480,"1,140.00",2.38,"1,25,490.00","3,06,590.00",2.44,,,
,,2021 - 2022,,,,"80,448.00","1,39,518.60",1.73,,,,737,"1,650.90",2.24,"1,11,281.00","2,27,349.30",2.04,,,
,,2022 - 2023,,,,"65,790.00","98,300.00",1.49,,,,300,830,2.77,"1,09,590.00","2,04,810.00",1.87,,,
26. Puducherry,1. Karaikal,2000 - 2001,"16,647.00","40,159.00",2.41,,,,,,,,,,,,,,,
,,2001 - 2002,"8,593.00","17,646.00",2.05,,,,,,,,,,,,,,,
,,2002 - 2003,"6,619.00","7,315.00",1.11,,,,,,,,,,,,,,,
,,2003 - 2004,"5,937.00","12,725.00",2.14,,,,,,,,,,,,,,,
,,2004 - 2005,,,,772,"1,423.00",1.84,,,,,,,"6,127.00","8,382.00",1.37,,,
,,2005 - 2006,,,,565,"1,189.00",2.1,,,,6,7,1.17,"5,988.00","9,707.00",1.62,,,
,,2006 - 2007,653,"1,644.00",2.52,,,,"6,135.00","14,969.00",2.44,,,,,,,,,
,,2007 - 2008,556,"1,417.00",2.55,,,,"5,892.00","12,900.00",2.19,8,14,1.75,,,,,,
,,2008 - 2009,585,"1,632.00",2.79,,,,"5,804.00","9,565.00",1.65,96,131,1.36,,,,,,
,,2009 - 2010,646,"1,388.00",2.15,,,,"5,607.00","11,109.00",1.98,17,22,1.29,,,,,,
,,2010 - 2011,573,"1,529.00",2.67,,,,"5,515.00","13,087.00",2.37,35,94,2.69,,,,,,
,,2011 - 2012,644,"1,847.00",2.87,,,,"5,432.00","13,258.00",2.44,13,27,2.08,,,,,,
,,2012 - 2013,434,"1,216.00",2.8,,,,"4,491.00","8,466.00",1.89,1,2,2,,,,,,
,,2013 - 2014,378,726,1.92,,,,"3,975.00","10,176.00",2.56,8,27,3.38,,,,,,
,,2014 - 2015,460,"1,006.00",2.19,,,,"4,305.00","9,820.00",2.28,,,,,,,,,
,,2015 - 2016,505,"1,335.00",2.64,,,,"3,910.00","6,303.00",1.61,32,44,1.38,,,,,,
,,2016 - 2017,474,"1,085.00",2.29,,,,"3,725.00","3,949.00",1.06,26,30,1.15,,,,,,
,,2017 - 2018,532,"1,269.00",2.39,,,,"3,636.00","7,488.00",2.06,24,50,2.08,,,,,,
,,2018 - 2019,604,"1,247.00",2.06,,,,"3,989.00","11,036.00",2.77,12,25,2.08,,,,,,
,,2019 - 2020,571,"1,456.00",2.55,,,,"4,119.00","9,839.00",2.39,,,,,,,,,
,,2020 - 2021,669,"1,608.00",2.4,,,,"4,326.00","6,974.00",1.61,,,,,,,,,
,,2021 - 2022,731,"1,654.00",2.26,,,,"4,492.00","10,350.00",2.3,72,164,2.28,,,,,,
,,2022 - 2023,751,"1,618.00",2.15,,,,"4,461.00","11,028.00",2.47,3,0,0,,,,,,
,2. Mahe,2000 - 2001,"8,795.00","21,081.00",2.4,,,,,,,,,,,,,,,
,,2001 - 2002,5,10,2,,,,,,,,,,,,,,,
,3. Pondicherry,2000 - 2001,"16,647.00","40,159.00",2.41,,,,,,,,,,,,,,,
,,2001 - 2002,"16,945.00","47,172.00",2.78,,,,,,,,,,,,,,,
,,2002 - 2003,"16,931.00","47,982.00",2.83,,,,,,,,,,,,,,,
,,2003 - 2004,"18,534.00","51,876.00",2.8,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"5,135.00","14,650.00",2.85,,,,"5,689.00","15,537.00",2.73,"6,499.00","18,737.00",2.88,,,
,,2005 - 2006,,,,"4,462.00","13,243.00",2.97,,,,"5,161.00","13,006.00",2.52,"6,136.00","14,266.00",2.32,,,
,,2006 - 2007,"4,044.00","10,785.00",2.67,,,,"5,643.00","16,703.00",2.96,"4,574.00","13,942.00",3.05,,,,,,
,,2007 - 2008,"3,549.00","10,516.00",2.96,,,,"5,264.00","14,081.00",2.67,"4,639.00","12,381.00",2.67,,,,,,
,,2008 - 2009,"3,637.00","9,700.00",2.67,,,,"5,254.00","13,550.00",2.58,"4,885.00","14,132.00",2.89,,,,,,
,,2009 - 2010,"3,693.00","11,009.00",2.98,,,,"5,324.00","13,219.00",2.48,"5,081.00","13,429.00",2.64,,,,,,
,,2010 - 2011,"3,488.00","10,297.00",2.95,,,,"5,145.00","12,034.00",2.34,"4,675.00","12,679.00",2.71,,,,,,
,,2011 - 2012,"3,264.00","9,881.00",3.03,,,,"4,722.00","9,532.00",2.02,"2,002.00","5,804.00",2.9,,,,,,
,,2012 - 2013,"2,818.00","9,477.00",3.36,,,,"4,322.00","14,155.00",3.28,"3,742.00","11,507.00",3.08,,,,,,
,,2013 - 2014,"2,954.00","10,478.00",3.55,,,,"4,223.00","13,535.00",3.21,"3,761.00","12,938.00",3.44,,,,,,
,,2014 - 2015,"2,942.00","10,041.00",3.41,,,,"4,483.00","15,516.00",3.46,"4,005.00","14,518.00",3.62,,,,,,
,,2015 - 2016,"3,000.00","10,728.00",3.58,,,,"4,396.00","12,704.00",2.89,"3,909.00","12,005.00",3.07,,,,,,
,,2016 - 2017,"2,935.00","11,024.00",3.76,,,,"4,511.00","18,155.00",4.02,"4,074.00","15,959.00",3.92,,,,,,
,,2017 - 2018,"3,504.00","12,948.00",3.7,,,,"4,934.00","16,927.00",3.43,"4,273.00","15,468.00",3.62,,,,,,
,,2018 - 2019,"3,444.00","13,822.00",4.01,,,,"4,894.00","18,718.00",3.82,"4,503.00","16,601.00",3.69,,,,,,
,,2019 - 2020,"3,534.00","12,967.00",3.67,,,,"5,072.00","17,059.00",3.36,"4,518.00","16,060.00",3.55,,,,,,
,,2020 - 2021,"3,453.00","12,603.00",3.65,,,,"4,944.00","13,444.00",2.72,"4,438.00","14,604.00",3.29,,,,,,
,,2021 - 2022,"3,365.00","10,725.00",3.19,,,,"5,067.00","15,414.00",3.04,"4,811.00","16,951.00",3.52,,,,,,
,,2022 - 2023,"3,339.00","10,970.00",3.29,,,,"5,740.00","18,567.00",3.23,"5,153.00","17,493.00",3.39,,,,,,
,4. Yanam,2000 - 2001,690,"2,207.00",3.2,,,,,,,,,,,,,,,
,,2001 - 2002,720,"2,040.00",2.83,,,,,,,,,,,,,,,
,,2002 - 2003,592,"2,217.00",3.74,,,,,,,,,,,,,,,
,,2003 - 2004,594,"2,402.00",4.04,,,,,,,,,,,,,,,
,,2004 - 2005,,,,330,"1,184.00",3.59,,,,,,,270,"1,123.00",4.16,,,
,,2005 - 2006,,,,321,846,2.64,,,,,,,286,"1,353.00",4.73,,,
,,2006 - 2007,313,856,2.73,,,,283,"1,909.00",6.75,,,,,,,,,
,,2007 - 2008,274,945,3.45,,,,255,"1,070.00",4.2,,,,,,,,,
,,2008 - 2009,271,958,3.54,,,,248,"1,048.00",4.23,,,,,,,,,
,,2009 - 2010,311,"1,104.00",3.55,,,,247,"1,050.00",4.25,,,,,,,,,
,,2010 - 2011,323,776,2.4,,,,260,"1,464.00",5.63,,,,,,,,,
,,2011 - 2012,329,"1,066.00",3.24,,,,170,699,4.11,,,,,,,,,
,,2012 - 2013,307,944,3.07,,,,166,752,4.53,,,,,,,,,
,,2013 - 2014,339,887,2.62,,,,184,"1,025.00",5.57,,,,,,,,,
,,2014 - 2015,241,774,3.21,,,,218,"1,042.00",4.78,,,,,,,,,
,,2015 - 2016,312,187,0.6,,,,199,580,2.91,,,,,,,,,
,,2016 - 2017,284,"1,042.00",3.67,,,,176,920,5.23,,,,,,,,,
,,2017 - 2018,289,"1,064.00",3.68,,,,179,773,4.32,,,,,,,,,
,,2018 - 2019,250,"1,013.00",4.05,,,,165,881,5.34,,,,,,,,,
,,2019 - 2020,218,748,3.43,,,,206,"1,216.00",5.9,,,,,,,,,
,,2020 - 2021,197,243,1.23,,,,179,673,3.76,,,,,,,,,
,,2021 - 2022,199,318,1.6,,,,159,676,4.25,,,,,,,,,
,,2022 - 2023,169,410,2.43,,,,152,429,2.82,,,,,,,,,
27. Punjab,1. Amritsar,2000 - 2001,"3,19,000.00","9,72,000.00",3.05,,,,,,,,,,,,,,,
,,2001 - 2002,"3,19,000.00","9,58,000.00",3,,,,,,,,,,,,,,,
,,2002 - 2003,"3,11,000.00","8,79,000.00",2.83,,,,,,,,,,,,,,,
,,2003 - 2004,"3,26,000.00","8,72,000.00",2.67,,,,,,,,,,,,,,,
,,2004 - 2005,"3,34,000.00","10,34,000.00",3.1,,,,,,,,,,,,,,,
,,2005 - 2006,"3,45,000.00","10,03,000.00",2.91,,,,,,,,,,,,,,,
,,2006 - 2007,"1,78,000.00","5,38,000.00",3.02,,,,,,,,,,,,,,,
,,2007 - 2008,"1,78,000.00","5,46,000.00",3.07,,,,,,,,,,,,,,,
,,2008 - 2009,"1,83,000.00","5,32,000.00",2.91,,,,,,,,,,,,,,,
,,2009 - 2010,"1,85,000.00","5,01,000.00",2.71,,,,,,,,,,,,,,,
,,2010 - 2011,"1,86,000.00","5,03,000.00",2.7,,,,,,,,,,,,,,,
,,2011 - 2012,"1,84,000.00","4,82,000.00",2.62,,,,,,,,,,,,,,,
,,2012 - 2013,"1,85,000.00","5,44,000.00",2.94,,,,,,,,,,,,,,,
,,2013 - 2014,"1,82,000.00","5,18,000.00",2.85,,,,,,,,,,,,,,,
,,2014 - 2015,"1,82,000.00","5,05,000.00",2.77,,,,,,,,,,,,,,,
,,2015 - 2016,"1,81,000.00","5,13,000.00",2.83,,,,,,,,,,,,,,,
,,2016 - 2017,"1,80,000.00","5,74,000.00",3.19,,,,,,,,,,,,,,,
,,2017 - 2018,"1,80,000.00","6,77,000.00",3.76,,,,,,,,,,,,,,,
,,2018 - 2019,"1,80,000.00","5,37,000.00",2.98,,,,,,,,,,,,,,,
,,2019 - 2020,"1,81,000.00","5,98,000.00",3.3,,,,,,,,,,,,,,,
,,2020 - 2021,"1,84,700.00","6,17,000.00",3.34,,,,,,,,,,,,,,,
,,2021 - 2022,"1,83,000.00","6,59,000.00",3.6,,,,,,,,,,,,,,,
,,2022 - 2023,"1,81,000.00","6,44,000.00",3.56,,,,,,,,,,,,,,,
,2. Barnala,2007 - 2008,"99,000.00","4,66,000.00",4.71,,,,,,,,,,,,,,,
,,2008 - 2009,"1,02,000.00","4,85,000.00",4.75,,,,,,,,,,,,,,,
,,2009 - 2010,"1,04,000.00","4,96,000.00",4.77,,,,,,,,,,,,,,,
,,2010 - 2011,"1,05,000.00","4,65,000.00",4.43,,,,,,,,,,,,,,,
,,2011 - 2012,"1,05,000.00","4,59,000.00",4.37,,,,,,,,,,,,,,,
,,2012 - 2013,"1,06,000.00","4,90,000.00",4.62,,,,,,,,,,,,,,,
,,2013 - 2014,"1,07,000.00","5,00,000.00",4.67,,,,,,,,,,,,,,,
,,2014 - 2015,"1,08,000.00","5,07,000.00",4.69,,,,,,,,,,,,,,,
,,2015 - 2016,"1,10,000.00","5,11,000.00",4.65,,,,,,,,,,,,,,,
,,2016 - 2017,"1,12,000.00","5,16,000.00",4.61,,,,,,,,,,,,,,,
,,2017 - 2018,"1,13,000.00","5,65,000.00",5,,,,,,,,,,,,,,,
,,2018 - 2019,"1,14,000.00","5,67,000.00",4.97,,,,,,,,,,,,,,,
,,2019 - 2020,"1,14,000.00","5,25,000.00",4.61,,,,,,,,,,,,,,,
,,2020 - 2021,"1,15,300.00","6,02,000.00",5.22,,,,,,,,,,,,,,,
,,2021 - 2022,"1,16,100.00","5,51,000.00",4.75,,,,,,,,,,,,,,,
,,2022 - 2023,"1,14,500.00","6,01,000.00",5.25,,,,,,,,,,,,,,,
,3. Bathinda,2000 - 2001,"99,000.00","3,50,000.00",3.54,,,,,,,,,,,,,,,
,,2001 - 2002,"82,000.00","3,07,000.00",3.74,,,,,,,,,,,,,,,
,,2002 - 2003,"1,07,000.00","3,67,000.00",3.43,,,,,,,,,,,,,,,
,,2003 - 2004,"1,05,000.00","4,19,000.00",3.99,,,,,,,,,,,,,,,
,,2004 - 2005,"1,02,000.00","4,15,000.00",4.07,,,,,,,,,,,,,,,
,,2005 - 2006,"95,000.00","3,85,000.00",4.05,,,,,,,,,,,,,,,
,,2006 - 2007,"87,000.00","3,58,000.00",4.11,,,,,,,,,,,,,,,
,,2007 - 2008,"86,000.00","3,68,000.00",4.28,,,,,,,,,,,,,,,
,,2008 - 2009,"97,000.00","4,27,000.00",4.4,,,,,,,,,,,,,,,
,,2009 - 2010,"1,04,000.00","4,76,000.00",4.58,,,,,,,,,,,,,,,
,,2010 - 2011,"1,07,000.00","4,37,000.00",4.08,,,,,,,,,,,,,,,
,,2011 - 2012,"1,01,000.00","4,09,000.00",4.05,,,,,,,,,,,,,,,
,,2012 - 2013,"1,07,000.00","4,58,000.00",4.28,,,,,,,,,,,,,,,
,,2013 - 2014,"1,11,000.00","5,01,000.00",4.51,,,,,,,,,,,,,,,
,,2014 - 2015,"1,19,000.00","5,29,000.00",4.45,,,,,,,,,,,,,,,
,,2015 - 2016,"1,37,000.00","6,20,000.00",4.53,,,,,,,,,,,,,,,
,,2016 - 2017,"1,52,000.00","6,89,000.00",4.53,,,,,,,,,,,,,,,
,,2017 - 2018,"1,60,000.00","7,47,000.00",4.67,,,,,,,,,,,,,,,
,,2018 - 2019,"1,67,000.00","7,62,000.00",4.56,,,,,,,,,,,,,,,
,,2019 - 2020,"1,79,000.00","7,64,000.00",4.27,,,,,,,,,,,,,,,
,,2020 - 2021,"1,77,200.00","8,22,000.00",4.64,,,,,,,,,,,,,,,
,,2021 - 2022,"1,80,400.00","8,29,000.00",4.6,,,,,,,,,,,,,,,
,,2022 - 2023,"1,89,800.00","9,01,000.00",4.75,,,,,,,,,,,,,,,
,4. Faridkot,2000 - 2001,"90,000.00","3,10,000.00",3.44,,,,,,,,,,,,,,,
,,2001 - 2002,"70,000.00","2,67,000.00",3.81,,,,,,,,,,,,,,,
,,2002 - 2003,"86,000.00","2,80,000.00",3.26,,,,,,,,,,,,,,,
,,2003 - 2004,"84,000.00","3,08,000.00",3.67,,,,,,,,,,,,,,,
,,2004 - 2005,"88,000.00","3,37,000.00",3.83,,,,,,,,,,,,,,,
,,2005 - 2006,"86,000.00","3,39,000.00",3.94,,,,,,,,,,,,,,,
,,2006 - 2007,"85,000.00","3,38,000.00",3.98,,,,,,,,,,,,,,,
,,2007 - 2008,"87,000.00","3,51,000.00",4.03,,,,,,,,,,,,,,,
,,2008 - 2009,"95,000.00","4,14,000.00",4.36,,,,,,,,,,,,,,,
,,2009 - 2010,"98,000.00","4,14,000.00",4.22,,,,,,,,,,,,,,,
,,2010 - 2011,"1,01,000.00","4,09,000.00",4.05,,,,,,,,,,,,,,,
,,2011 - 2012,"1,01,000.00","4,05,000.00",4.01,,,,,,,,,,,,,,,
,,2012 - 2013,"1,02,000.00","4,44,000.00",4.35,,,,,,,,,,,,,,,
,,2013 - 2014,"1,04,000.00","4,43,000.00",4.26,,,,,,,,,,,,,,,
,,2014 - 2015,"1,06,000.00","4,21,000.00",3.97,,,,,,,,,,,,,,,
,,2015 - 2016,"1,10,000.00","4,39,000.00",3.99,,,,,,,,,,,,,,,
,,2016 - 2017,"1,15,000.00","4,68,000.00",4.07,,,,,,,,,,,,,,,
,,2017 - 2018,"1,15,000.00","5,11,000.00",4.44,,,,,,,,,,,,,,,
,,2018 - 2019,"1,16,000.00","4,77,000.00",4.11,,,,,,,,,,,,,,,
,,2019 - 2020,"1,16,000.00","4,36,000.00",3.76,,,,,,,,,,,,,,,
,,2020 - 2021,"1,16,200.00","4,77,000.00",4.1,,,,,,,,,,,,,,,
,,2021 - 2022,"1,15,700.00","5,03,000.00",4.35,,,,,,,,,,,,,,,
,,2022 - 2023,"1,15,900.00","5,19,000.00",4.48,,,,,,,,,,,,,,,
,5. Fatehgarh sahib,2000 - 2001,"84,000.00","3,50,000.00",4.17,,,,,,,,,,,,,,,
