State,District,Year,Cotton(lint),,,,,,,,,,,
,,2010 - 2011,90,72,0.8,,,,,,,,,
,,2011 - 2012,70,61,0.87,,,,,,,,,
,,2013 - 2014,45,44,0.98,,,,,,,,,
,,2014 - 2015,18,16,0.89,,,,,,,,,
,,2015 - 2016,108,39,0.36,,,,,,,,,
,,2016 - 2017,30,1,0.03,,,,,,,,,
,,2017 - 2018,41,12,0.29,,,,,,,,,
,3. Hnahthial,2020 - 2021,9,3,0.33,,,,,,,,,
,,2022 - 2023,9,3,0.33,,,,,,,,,
,4. Kolasib,2000 - 2001,72,112,1.56,,,,,,,,,
,,2001 - 2002,73,141,1.93,,,,,,,,,
,,2002 - 2003,78,159,2.04,,,,,,,,,
,,2003 - 2004,35,71,2.03,,,,,,,,,
,,2004 - 2005,34,1,0.03,,,,,,,,,
,,2005 - 2006,25,25,1,,,,,,,,,
,,2006 - 2007,22,13,0.59,,,,,,,,,
,,2008 - 2009,23,11,0.48,,,,,,,,,
,,2009 - 2010,21,13,0.62,,,,,,,,,
,,2010 - 2011,29,15,0.52,,,,,,,,,
,,2011 - 2012,30,21,0.7,,,,,,,,,
,,2012 - 2013,7,5.5,0.79,,,,,,,,,
,,2013 - 2014,16,14,0.88,,,,,,,,,
,,2014 - 2015,18,15,0.83,,,,,,,,,
,,2015 - 2016,19,17,0.89,,,,,,,,,
,,2016 - 2017,15,13,0.87,,,,,,,,,
,,2017 - 2018,12,10,0.83,,,,,,,,,
,,2018 - 2019,12,10,0.83,,,,,,,,,
,5. Lawngtlai,2004 - 2005,4,17,4.25,,,,,,,,,
,,2008 - 2009,20,8,0.4,,,,,,,,,
,,2009 - 2010,22,24,1.09,,,,,,,,,
,,2011 - 2012,16,8,0.5,,,,,,,,,
,,2013 - 2014,25,12,0.48,,,,,,,,,
,,2014 - 2015,26,12,0.46,,,,,,,,,
,,2015 - 2016,30,12,0.4,,,,,,,,,
,,2016 - 2017,26,10,0.38,,,,,,,,,
,,2017 - 2018,27.5,10.8,0.39,,,,,,,,,
,,2018 - 2019,22,10,0.45,,,,,,,,,
,,2019 - 2020,15,8,0.53,,,,,,,,,
,,2020 - 2021,15,8,0.53,,,,,,,,,
,6. Lunglei,2000 - 2001,70,241,3.44,,,,,,,,,
,,2001 - 2002,77,208,2.7,,,,,,,,,
,,2002 - 2003,77,212,2.75,,,,,,,,,
,,2003 - 2004,85,200,2.35,,,,,,,,,
,,2004 - 2005,88,188,2.14,,,,,,,,,
,,2005 - 2006,68,90,1.32,,,,,,,,,
,,2006 - 2007,72,28,0.39,,,,,,,,,
,,2008 - 2009,46,13,0.28,,,,,,,,,
,,2009 - 2010,51,21,0.41,,,,,,,,,
,,2010 - 2011,25,24,0.96,,,,,,,,,
,,2011 - 2012,42,19,0.45,,,,,,,,,
,,2013 - 2014,21,10.5,0.5,,,,,,,,,
,,2014 - 2015,16,8,0.5,,,,,,,,,
,,2015 - 2016,2,2,1,,,,,,,,,
,,2017 - 2018,11.8,1,0.08,,,,,,,,,
,,2018 - 2019,9,4,0.44,,,,,,,,,
,,2019 - 2020,8,5,0.63,,,,,,,,,
,7. Mamit,2003 - 2004,91,424,4.66,,,,,,,,,
,,2004 - 2005,48,170,3.54,,,,,,,,,
,,2005 - 2006,85,55,0.65,,,,,,,,,
,,2006 - 2007,17,43,2.53,,,,,,,,,
,,2007 - 2008,40,7,0.18,,,,,,,,,
,,2008 - 2009,35,18,0.51,,,,,,,,,
,,2009 - 2010,26,11,0.42,,,,,,,,,
,,2014 - 2015,13,7,0.54,,,,,,,,,
,8. Saiha,2003 - 2004,12,29,2.42,,,,,,,,,
,,2006 - 2007,7,1,0.14,,,,,,,,,
15. Nagaland,1. Dimapur,2000 - 2001,91,130,1.43,,,,,,,,,
,,2001 - 2002,80,90,1.13,,,,,,,,,
,,2002 - 2003,190,"1,100.00",5.79,,,,,,,,,
,,2003 - 2004,670,40,0.06,,,,,,,,,
,,2004 - 2005,580,60,0.1,,,,,,,,,
,,2006 - 2007,180,30,0.17,,,,,,,,,
,,2011 - 2012,90,50,0.56,,,,,,,,,
,,2013 - 2014,70,40,0.57,,,,,,,,,
,,2014 - 2015,70,40,0.57,,,,,,,,,
,,2015 - 2016,80,50,0.63,,,,,,,,,
,,2016 - 2017,80,50,0.63,,,,,,,,,
,,2017 - 2018,80,50,0.63,,,,,,,,,
,,2018 - 2019,80,50,0.63,,,,,,,,,
,,2019 - 2020,3.2,2,0.63,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,2. Kohima,2000 - 2001,10,20,2,,,,,,,,,
,,2001 - 2002,30,40,1.33,,,,,,,,,
,,2002 - 2003,120,560,4.67,,,,,,,,,
,,2003 - 2004,100,10,0.1,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,,,,
,3. Mokokchung,2000 - 2001,30,40,1.33,,,,,,,,,
,,2001 - 2002,50,50,1,,,,,,,,,
,,2002 - 2003,110,530,4.82,,,,,,,,,
,,2003 - 2004,180,30,0.17,,,,,,,,,
,,2004 - 2005,220,20,0.09,,,,,,,,,
,4. Mon,2000 - 2001,20,20,1,,,,,,,,,
,,2001 - 2002,40,30,0.75,,,,,,,,,
,,2002 - 2003,110,550,5,,,,,,,,,
,,2003 - 2004,150,10,0.07,,,,,,,,,
,,2004 - 2005,140,10,0.07,,,,,,,,,
,,2007 - 2008,130,30,0.23,,,,,,,,,
,,2008 - 2009,90,50,0.56,,,,,,,,,
,,2009 - 2010,70,30,0.43,,,,,,,,,
,,2010 - 2011,80,40,0.5,,,,,,,,,
,5. Peren,2021 - 2022,1,1,1,,,,,,,,,
,6. Phek,2000 - 2001,20,40,2,,,,,,,,,
,,2001 - 2002,50,40,0.8,,,,,,,,,
,,2002 - 2003,130,620,4.77,,,,,,,,,
,,2003 - 2004,250,20,0.08,,,,,,,,,
,,2006 - 2007,20,10,0.5,,,,,,,,,
,,2007 - 2008,20,10,0.5,,,,,,,,,
,,2008 - 2009,20,10,0.5,,,,,,,,,
,,2009 - 2010,20,10,0.5,,,,,,,,,
,,2010 - 2011,20,10,0.5,,,,,,,,,
,,2011 - 2012,20,10,0.5,,,,,,,,,
,,2013 - 2014,50,30,0.6,,,,,,,,,
,,2014 - 2015,50,30,0.6,,,,,,,,,
,,2015 - 2016,50,30,0.6,,,,,,,,,
,,2016 - 2017,50,30,0.6,,,,,,,,,
,,2017 - 2018,50,30,0.6,,,,,,,,,
,,2018 - 2019,50,30,0.6,,,,,,,,,
,,2019 - 2020,2.5,1.5,0.6,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,,,,
,7. Tseminyu,2022 - 2023,1,1,1,,,,,,,,,
,8. Tuensang,2000 - 2001,20,30,1.5,,,,,,,,,
,,2001 - 2002,50,50,1,,,,,,,,,
,,2002 - 2003,100,510,5.1,,,,,,,,,
,,2003 - 2004,170,10,0.06,,,,,,,,,
,,2004 - 2005,130,10,0.08,,,,,,,,,
,9. Wokha,2000 - 2001,20,20,1,,,,,,,,,
,,2001 - 2002,40,30,0.75,,,,,,,,,
,,2002 - 2003,90,530,5.89,,,,,,,,,
,,2003 - 2004,220,20,0.09,,,,,,,,,
,,2004 - 2005,270,30,0.11,,,,,,,,,
,10. Zunheboto,2000 - 2001,40,50,1.25,,,,,,,,,
,,2001 - 2002,60,70,1.17,,,,,,,,,
,,2002 - 2003,150,600,4,,,,,,,,,
,,2003 - 2004,260,10,0.04,,,,,,,,,
,,2004 - 2005,160,20,0.13,,,,,,,,,
16. Odisha,1. Anugul,2000 - 2001,130,180,1.38,,,,,,,,,
,,2019 - 2020,60,160,2.67,,,,,,,,,
,2. Balangir,2000 - 2001,"8,750.00","13,430.00",1.53,,,,,,,,,
,,2019 - 2020,"50,800.00","1,13,250.00",2.23,,,,,,,,,
,3. Bargarh,2019 - 2020,"2,650.00","7,280.00",2.75,,,,,,,,,
,4. Boudh,2000 - 2001,230,220,0.96,,,,,,,,,
,,2019 - 2020,"1,110.00","3,020.00",2.72,,,,,,,,,
,5. Dhenkanal,2000 - 2001,70,90,1.29,,,,,,,,,
,6. Gajapati,2000 - 2001,420,520,1.24,,,,,,,,,
,,2019 - 2020,"1,650.00","7,820.00",4.74,,,,,,,,,
,7. Ganjam,2000 - 2001,"2,440.00","3,590.00",1.47,,,,,,,,,
,,2019 - 2020,860,"2,320.00",2.7,,,,,,,,,
,8. Kalahandi,2000 - 2001,"15,510.00","23,360.00",1.51,,,,,,,,,
,,2019 - 2020,"59,800.00","2,27,240.00",3.8,,,,,,,,,
,9. Kandhamal,2000 - 2001,30,100,3.33,,,,,,,,,
,,2019 - 2020,830,"2,420.00",2.92,,,,,,,,,
,10. Kendujhar,2000 - 2001,10,10,1,,,,,,,,,
,11. Koraput,2000 - 2001,520,"1,760.00",3.38,,,,,,,,,
,,2019 - 2020,"1,000.00","5,090.00",5.09,,,,,,,,,
,12. Nabarangpur,2000 - 2001,"2,610.00","4,300.00",1.65,,,,,,,,,
,13. Nayagarh,2000 - 2001,40,60,1.5,,,,,,,,,
,14. Nuapada,2000 - 2001,"1,470.00","1,950.00",1.33,,,,,,,,,
,,2019 - 2020,"10,340.00","32,110.00",3.11,,,,,,,,,
,15. Rayagada,2000 - 2001,"6,920.00","15,510.00",2.24,,,,,,,,,
,,2019 - 2020,"36,110.00","1,62,280.00",4.49,,,,,,,,,
,16. Sonepur,2000 - 2001,10,10,1,,,,,,,,,
,,2019 - 2020,"4,350.00","15,510.00",3.57,,,,,,,,,
17. Puducherry,1. Karaikal,2000 - 2001,183,953,5.21,,,,,,,,,
,,2001 - 2002,380,"1,900.00",5,,,,,,,,,
,,2002 - 2003,193,994,5.15,,,,,,,,,
,,2003 - 2004,287,918,3.2,,,,,,,,,
,,2004 - 2005,408,277,0.68,,,,,,,,,
,,2005 - 2006,117,77,0.66,,,,,,,,,
,,2006 - 2007,,,,,,,,,,45,30,0.67
,,2007 - 2008,,,,,,,,,,38,14,0.37
,,2008 - 2009,,,,,,,,,,25,21,0.84
,,2009 - 2010,,,,,,,,,,9,7,0.78
,,2010 - 2011,,,,,,,,,,5,5,1
,,2011 - 2012,,,,,,,,,,7,7,1
,,2012 - 2013,,,,,,,,,,6,5,0.83
,,2013 - 2014,,,,,,,,,,66,49,0.74
,,2014 - 2015,,,,,,,,,,64,144,2.25
,,2015 - 2016,107,258,2.41,,,,,,,,,
,,2016 - 2017,292,532,1.82,,,,,,,,,
,,2017 - 2018,149,155,1.04,,,,,,,,,
,,2018 - 2019,280,288,1.03,,,,,,,,,
,,2019 - 2020,494,"1,230.00",2.49,,,,,,,,,
,,2020 - 2021,325,711,2.19,,,,,,,,,
,,2021 - 2022,460,"1,126.00",2.45,,,,,,,,,
,,2022 - 2023,394,"1,048.00",2.66,,,,,,,,,
,2. Pondicherry,2000 - 2001,269,"1,347.00",5.01,,,,,,,,,
,,2001 - 2002,195,"1,065.00",5.46,,,,,,,,,
,,2002 - 2003,121,641,5.3,,,,,,,,,
,,2003 - 2004,166,829,4.99,,,,,,,,,
,,2004 - 2005,323,249,0.77,,,,,,,,,
,,2005 - 2006,66,56,0.85,,,,,,,,,
,,2006 - 2007,,,,,,,,,,12,10,0.83
,,2007 - 2008,,,,,,,,,,28,24,0.86
,,2008 - 2009,,,,,,,,,,23,18,0.78
,,2009 - 2010,,,,,,,,,,1,1,1
,,2011 - 2012,,,,,,,,,,1,1,1
,,2012 - 2013,,,,,,,,,,6,4,0.67
,,2013 - 2014,,,,,,,,,,1,1,1
,,2014 - 2015,,,,,,,,,,30,36,1.2
,,2015 - 2016,11,13,1.18,,,,,,,,,
,,2016 - 2017,4,7,1.75,,,,,,,,,
,,2017 - 2018,5,9,1.8,,,,,,,,,
,,2018 - 2019,3,6,2,,,,,,,,,
,,2019 - 2020,6,18,3,,,,,,,,,
,,2020 - 2021,8,20,2.5,,,,,,,,,
,,2021 - 2022,5,13,2.6,,,,,,,,,
,,2022 - 2023,4,10,2.5,,,,,,,,,
18. Punjab,1. Amritsar,2000 - 2001,"2,000.00","2,000.00",1,,,,,,,,,
,,2001 - 2002,"2,000.00","3,000.00",1.5,,,,,,,,,
,,2002 - 2003,"1,000.00","1,000.00",1,,,,,,,,,
,,2003 - 2004,"1,000.00","2,000.00",2,,,,,,,,,
,,2004 - 2005,"1,000.00","3,000.00",3,,,,,,,,,
,,2005 - 2006,"1,000.00","3,000.00",3,,,,,,,,,
,2. Barnala,2007 - 2008,"14,000.00","81,000.00",5.79,,,,,,,,,
,,2008 - 2009,"12,000.00","57,000.00",4.75,,,,,,,,,
,,2009 - 2010,"11,000.00","50,000.00",4.55,,,,,,,,,
,,2010 - 2011,"10,000.00","40,000.00",4,,,,,,,,,
,,2011 - 2012,"11,000.00","44,000.00",4,,,,,,,,,
,,2012 - 2013,"9,000.00","32,000.00",3.56,,,,,,,,,
,,2013 - 2014,"9,000.00","37,000.00",4.11,,,,,,,,,
,,2014 - 2015,"8,000.00","31,000.00",3.88,,,,,,,,,
,,2015 - 2016,"5,000.00","5,000.00",1,,,,,,,,,
,,2016 - 2017,"3,000.00","14,000.00",4.67,,,,,,,,,
,,2017 - 2018,"3,000.00","12,000.00",4,,,,,,,,,
,,2018 - 2019,"2,600.00","9,900.00",3.81,,,,,,,,,
,,2019 - 2020,"1,600.00","7,600.00",4.75,,,,,,,,,
,,2020 - 2021,"1,500.00","7,000.00",4.67,,,,,,,,,
,,2021 - 2022,"1,400.00","3,800.00",2.71,,,,,,,,,
,,2022 - 2023,"1,700.00","4,700.00",2.76,,,,,,,,,
,3. Bathinda,2000 - 2001,"1,47,000.00","3,31,000.00",2.25,,,,,,,,,
,,2001 - 2002,"1,62,000.00","3,75,000.00",2.31,,,,,,,,,
,,2002 - 2003,"1,25,000.00","3,47,000.00",2.78,,,,,,,,,
,,2003 - 2004,"1,28,000.00","4,11,000.00",3.21,,,,,,,,,
,,2004 - 2005,"1,41,000.00","5,93,000.00",4.21,,,,,,,,,
,,2005 - 2006,"1,51,000.00","6,59,000.00",4.36,,,,,,,,,
,,2006 - 2007,"1,61,000.00","7,39,000.00",4.59,,,,,,,,,
,,2007 - 2008,"1,65,000.00","6,60,000.00",4,,,,,,,,,
,,2008 - 2009,"1,53,000.00","7,14,000.00",4.67,,,,,,,,,
,,2009 - 2010,"1,50,000.00","6,59,000.00",4.39,,,,,,,,,
,,2010 - 2011,"1,47,000.00","6,07,000.00",4.13,,,,,,,,,
,,2011 - 2012,"1,55,000.00","5,73,000.00",3.7,,,,,,,,,
,,2012 - 2013,"1,51,000.00","5,81,000.00",3.85,,,,,,,,,
,,2013 - 2014,"1,42,000.00","5,05,000.00",3.56,,,,,,,,,
,,2014 - 2015,"1,39,000.00","4,98,000.00",3.58,,,,,,,,,
,,2015 - 2016,"1,12,000.00","1,18,000.00",1.05,,,,,,,,,
,,2016 - 2017,"97,000.00","4,78,000.00",4.93,,,,,,,,,
,,2017 - 2018,"99,000.00","4,91,000.00",4.96,,,,,,,,,
,,2018 - 2019,"91,100.00","4,62,600.00",5.08,,,,,,,,,
,,2019 - 2020,"78,000.00","4,09,500.00",5.25,,,,,,,,,
,,2020 - 2021,"80,900.00","3,88,000.00",4.8,,,,,,,,,
,,2021 - 2022,"77,100.00","88,900.00",1.15,,,,,,,,,
,,2022 - 2023,"70,500.00","1,27,800.00",1.81,,,,,,,,,
,4. Faridkot,2000 - 2001,"14,000.00","35,000.00",2.5,,,,,,,,,
,,2001 - 2002,"36,000.00","72,000.00",2,,,,,,,,,
,,2002 - 2003,"16,000.00","25,000.00",1.56,,,,,,,,,
,,2003 - 2004,"20,000.00","58,000.00",2.9,,,,,,,,,
,,2004 - 2005,"21,000.00","68,000.00",3.24,,,,,,,,,
,,2005 - 2006,"25,000.00","1,08,000.00",4.32,,,,,,,,,
,,2006 - 2007,"29,000.00","1,37,000.00",4.72,,,,,,,,,
,,2007 - 2008,"28,000.00","1,05,000.00",3.75,,,,,,,,,
,,2008 - 2009,"21,000.00","85,000.00",4.05,,,,,,,,,
,,2009 - 2010,"18,000.00","71,000.00",3.94,,,,,,,,,
,,2010 - 2011,"15,000.00","56,000.00",3.73,,,,,,,,,
,,2011 - 2012,"17,000.00","52,000.00",3.06,,,,,,,,,
,,2012 - 2013,"15,000.00","46,000.00",3.07,,,,,,,,,
,,2013 - 2014,"12,000.00","37,000.00",3.08,,,,,,,,,
,,2014 - 2015,"10,000.00","37,000.00",3.7,,,,,,,,,
,,2015 - 2016,"6,000.00","10,000.00",1.67,,,,,,,,,
,,2016 - 2017,"2,000.00","7,000.00",3.5,,,,,,,,,
,,2017 - 2018,"2,000.00","8,000.00",4,,,,,,,,,
,,2018 - 2019,"1,600.00","6,100.00",3.81,,,,,,,,,
,,2019 - 2020,"1,700.00","7,100.00",4.18,,,,,,,,,
,,2020 - 2021,"1,300.00","5,000.00",3.85,,,,,,,,,
,,2021 - 2022,"2,100.00","8,000.00",3.81,,,,,,,,,
,,2022 - 2023,"2,600.00","3,100.00",1.19,,,,,,,,,
,5. Fazilka,2012 - 2013,"1,12,000.00","2,92,000.00",2.61,,,,,,,,,
,,2013 - 2014,"98,000.00","3,10,000.00",3.16,,,,,,,,,
,,2014 - 2015,"98,000.00","2,51,000.00",2.56,,,,,,,,,
,,2015 - 2016,"86,000.00","1,33,000.00",1.55,,,,,,,,,
,,2016 - 2017,"80,000.00","3,37,000.00",4.21,,,,,,,,,
,,2017 - 2018,"84,000.00","3,53,000.00",4.2,,,,,,,,,
,,2018 - 2019,"81,900.00","3,56,700.00",4.36,,,,,,,,,
,,2019 - 2020,"83,500.00","3,81,200.00",4.57,,,,,,,,,
,,2020 - 2021,"86,100.00","2,70,000.00",3.14,,,,,,,,,
,,2021 - 2022,"83,900.00","3,51,900.00",4.19,,,,,,,,,
,,2022 - 2023,"91,500.00","1,54,000.00",1.68,,,,,,,,,
,6. Firozepur,2000 - 2001,"1,14,000.00","3,41,000.00",2.99,,,,,,,,,
,,2001 - 2002,"1,43,000.00","3,25,000.00",2.27,,,,,,,,,
,,2002 - 2003,"1,21,000.00","2,93,000.00",2.42,,,,,,,,,
,,2003 - 2004,"1,17,000.00","4,40,000.00",3.76,,,,,,,,,
,,2004 - 2005,"1,33,000.00","5,48,000.00",4.12,,,,,,,,,
,,2005 - 2006,"1,40,000.00","6,14,000.00",4.39,,,,,,,,,
,,2006 - 2007,"1,51,000.00","6,48,000.00",4.29,,,,,,,,,
,,2007 - 2008,"1,39,000.00","4,72,000.00",3.4,,,,,,,,,
,,2008 - 2009,"1,20,000.00","4,84,000.00",4.03,,,,,,,,,
,,2009 - 2010,"1,26,000.00","4,17,000.00",3.31,,,,,,,,,
,,2010 - 2011,"1,16,000.00","3,82,000.00",3.29,,,,,,,,,
,,2011 - 2012,"1,24,000.00","3,39,000.00",2.73,,,,,,,,,
,,2012 - 2013,"1,000.00","3,000.00",3,,,,,,,,,
,,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2014 - 2015,"1,000.00","3,000.00",3,,,,,,,,,
,7. Jalandhar,2001 - 2002,"1,000.00","2,000.00",2,,,,,,,,,
,,2020 - 2021,100,300,3,,,,,,,,,
,8. Ludhiana,2000 - 2001,"1,000.00","1,000.00",1,,,,,,,,,
,,2001 - 2002,"2,000.00","3,000.00",1.5,,,,,,,,,
,,2002 - 2003,"1,000.00","1,000.00",1,,,,,,,,,
,,2003 - 2004,"1,000.00","1,000.00",1,,,,,,,,,
,,2005 - 2006,"1,000.00","5,000.00",5,,,,,,,,,
,,2006 - 2007,"2,000.00","9,000.00",4.5,,,,,,,,,
,,2007 - 2008,"3,000.00","12,000.00",4,,,,,,,,,
,,2008 - 2009,"2,000.00","9,000.00",4.5,,,,,,,,,
,,2009 - 2010,"2,000.00","8,000.00",4,,,,,,,,,
,,2010 - 2011,"1,000.00","4,000.00",4,,,,,,,,,
,,2011 - 2012,"1,000.00","3,000.00",3,,,,,,,,,
,,2012 - 2013,"1,000.00","2,000.00",2,,,,,,,,,
,,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2020 - 2021,100,400,4,,,,,,,,,
,9. Malerkotla,2022 - 2023,100,200,2,,,,,,,,,
,10. Mansa,2000 - 2001,"79,000.00","1,93,000.00",2.44,,,,,,,,,
,,2001 - 2002,"92,000.00","1,82,000.00",1.98,,,,,,,,,
,,2002 - 2003,"70,000.00","1,68,000.00",2.4,,,,,,,,,
,,2003 - 2004,"73,000.00","2,46,000.00",3.37,,,,,,,,,
,,2004 - 2005,"82,000.00","3,50,000.00",4.27,,,,,,,,,
,,2005 - 2006,"91,000.00","3,65,000.00",4.01,,,,,,,,,
,,2006 - 2007,"93,000.00","4,05,000.00",4.35,,,,,,,,,
,,2007 - 2008,"1,00,000.00","4,38,000.00",4.38,,,,,,,,,
,,2008 - 2009,"90,000.00","3,66,000.00",4.07,,,,,,,,,
,,2009 - 2010,"89,000.00","3,28,000.00",3.69,,,,,,,,,
,,2010 - 2011,"88,000.00","3,51,000.00",3.99,,,,,,,,,
,,2011 - 2012,"93,000.00","3,38,000.00",3.63,,,,,,,,,
,,2012 - 2013,"90,000.00","3,17,000.00",3.52,,,,,,,,,
,,2013 - 2014,"86,000.00","2,75,000.00",3.2,,,,,,,,,
,,2014 - 2015,"84,000.00","2,51,000.00",2.99,,,,,,,,,
,,2015 - 2016,"72,000.00","77,000.00",1.07,,,,,,,,,
,,2016 - 2017,"63,000.00","2,62,000.00",4.16,,,,,,,,,
,,2017 - 2018,"60,000.00","2,27,000.00",3.78,,,,,,,,,
,,2018 - 2019,"54,600.00","2,30,900.00",4.23,,,,,,,,,
,,2019 - 2020,"53,700.00","2,62,200.00",4.88,,,,,,,,,
,,2020 - 2021,"50,600.00","2,28,000.00",4.51,,,,,,,,,
,,2021 - 2022,"51,700.00","65,400.00",1.26,,,,,,,,,
,,2022 - 2023,"47,100.00","79,000.00",1.68,,,,,,,,,
,11. Moga,2000 - 2001,"8,000.00","20,000.00",2.5,,,,,,,,,
,,2001 - 2002,"14,000.00","20,000.00",1.43,,,,,,,,,
,,2002 - 2003,"5,000.00","6,000.00",1.2,,,,,,,,,
,,2003 - 2004,"4,000.00","11,000.00",2.75,,,,,,,,,
,,2004 - 2005,"6,000.00","20,000.00",3.33,,,,,,,,,
,,2005 - 2006,"7,000.00","28,000.00",4,,,,,,,,,
,,2006 - 2007,"7,000.00","29,000.00",4.14,,,,,,,,,
,,2007 - 2008,"8,000.00","32,000.00",4,,,,,,,,,
,,2008 - 2009,"6,000.00","36,000.00",6,,,,,,,,,
,,2009 - 2010,"4,000.00","17,000.00",4.25,,,,,,,,,
,,2010 - 2011,"3,000.00","9,000.00",3,,,,,,,,,
,,2011 - 2012,"3,000.00","5,000.00",1.67,,,,,,,,,
,,2012 - 2013,"2,000.00","9,000.00",4.5,,,,,,,,,
,,2013 - 2014,"2,000.00","8,000.00",4,,,,,,,,,
,,2014 - 2015,"1,000.00","3,000.00",3,,,,,,,,,
,,2015 - 2016,"1,000.00","2,000.00",2,,,,,,,,,
,,2018 - 2019,200,900,4.5,,,,,,,,,
,,2019 - 2020,100,500,5,,,,,,,,,
,,2020 - 2021,100,400,4,,,,,,,,,
,,2021 - 2022,100,500,5,,,,,,,,,
,,2022 - 2023,100,200,2,,,,,,,,,
,12. Muktsar,2000 - 2001,"87,000.00","2,33,000.00",2.68,,,,,,,,,
,,2001 - 2002,"1,26,000.00","2,76,000.00",2.19,,,,,,,,,
,,2002 - 2003,"86,000.00","2,02,000.00",2.35,,,,,,,,,
,,2003 - 2004,"91,000.00","2,67,000.00",2.93,,,,,,,,,
,,2004 - 2005,"1,05,000.00","4,37,000.00",4.16,,,,,,,,,
,,2005 - 2006,"1,17,000.00","5,42,000.00",4.63,,,,,,,,,
,,2006 - 2007,"1,31,000.00","5,99,000.00",4.57,,,,,,,,,
,,2007 - 2008,"1,28,000.00","4,81,000.00",3.76,,,,,,,,,
,,2008 - 2009,"1,07,000.00","4,76,000.00",4.45,,,,,,,,,
,,2009 - 2010,"96,000.00","3,91,000.00",4.07,,,,,,,,,
,,2010 - 2011,"90,000.00","3,30,000.00",3.67,,,,,,,,,
,,2011 - 2012,"98,000.00","2,28,000.00",2.33,,,,,,,,,
,,2012 - 2013,"88,000.00","2,98,000.00",3.39,,,,,,,,,
,,2013 - 2014,"82,000.00","2,64,000.00",3.22,,,,,,,,,
,,2014 - 2015,"66,000.00","2,17,000.00",3.29,,,,,,,,,
,,2015 - 2016,"46,000.00","34,000.00",0.74,,,,,,,,,
,,2016 - 2017,"32,000.00","1,36,000.00",4.25,,,,,,,,,
,,2017 - 2018,"36,000.00","1,64,000.00",4.56,,,,,,,,,
,,2018 - 2019,"31,400.00","1,37,800.00",4.39,,,,,,,,,
,,2019 - 2020,"26,000.00","1,22,900.00",4.73,,,,,,,,,
,,2020 - 2021,"28,700.00","1,14,000.00",3.97,,,,,,,,,
,,2021 - 2022,"32,200.00","1,24,300.00",3.86,,,,,,,,,
,,2022 - 2023,"33,500.00","67,200.00",2.01,,,,,,,,,
,13. Patiala,2000 - 2001,"1,000.00","2,000.00",2,,,,,,,,,
,,2001 - 2002,"1,000.00","2,000.00",2,,,,,,,,,
,,2002 - 2003,"1,000.00","2,000.00",2,,,,,,,,,
,,2003 - 2004,"1,000.00","3,000.00",3,,,,,,,,,
,,2004 - 2005,"1,000.00","3,000.00",3,,,,,,,,,
,,2005 - 2006,"1,000.00","3,000.00",3,,,,,,,,,
,,2006 - 2007,"1,000.00","3,000.00",3,,,,,,,,,
,,2007 - 2008,"1,000.00","4,000.00",4,,,,,,,,,
,,2008 - 2009,"1,000.00","4,000.00",4,,,,,,,,,
,,2009 - 2010,"1,000.00","4,000.00",4,,,,,,,,,
,,2010 - 2011,"1,000.00","3,000.00",3,,,,,,,,,
,,2011 - 2012,"1,000.00","3,000.00",3,,,,,,,,,
,,2012 - 2013,"1,000.00","3,000.00",3,,,,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2016 - 2017,"1,000.00","4,000.00",4,,,,,,,,,
,,2017 - 2018,"1,000.00","4,000.00",4,,,,,,,,,
,,2018 - 2019,300,"1,300.00",4.33,,,,,,,,,
,,2019 - 2020,100,500,5,,,,,,,,,
,14. Sangrur,2000 - 2001,"21,000.00","41,000.00",1.95,,,,,,,,,
,,2001 - 2002,"28,000.00","47,000.00",1.68,,,,,,,,,
,,2002 - 2003,"23,000.00","38,000.00",1.65,,,,,,,,,
,,2003 - 2004,"16,000.00","39,000.00",2.44,,,,,,,,,
,,2004 - 2005,"19,000.00","65,000.00",3.42,,,,,,,,,
,,2005 - 2006,"23,000.00","68,000.00",2.96,,,,,,,,,
,,2006 - 2007,"27,000.00","1,00,000.00",3.7,,,,,,,,,
,,2007 - 2008,"15,000.00","60,000.00",4,,,,,,,,,
,,2008 - 2009,"14,000.00","50,000.00",3.57,,,,,,,,,
,,2009 - 2010,"13,000.00","57,000.00",4.38,,,,,,,,,
,,2010 - 2011,"11,000.00","36,000.00",3.27,,,,,,,,,
,,2011 - 2012,"11,000.00","33,000.00",3,,,,,,,,,
,,2012 - 2013,"11,000.00","44,000.00",4,,,,,,,,,
,,2013 - 2014,"12,000.00","50,000.00",4.17,,,,,,,,,
,,2014 - 2015,"13,000.00","51,000.00",3.92,,,,,,,,,
,,2015 - 2016,"10,000.00","13,000.00",1.3,,,,,,,,,
,,2016 - 2017,"7,000.00","29,000.00",4.14,,,,,,,,,
,,2017 - 2018,"6,000.00","24,000.00",4,,,,,,,,,
