state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
,,2006 - 2007,,440.0,0.35,471.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,63.0,9.0,0.14,,,,,,
,,2008 - 2009,,,,,,,,295.0,0.28,,,,,,
,,2009 - 2010,602.0,201.0,0.33,254.0,79.0,0.31,,,,,,,,,
,,2010 - 2011,832.0,281.0,0.34,,,,,,,,,,,,
,,2011 - 2012,792.0,515.0,0.65,,,,,,,,,,,,
,,2012 - 2013,526.0,375.0,0.71,,,,,,,,,,,,
,,2013 - 2014,404.0,96.0,0.24,,,,,,,,,,,,
,,2014 - 2015,,,0.6,,,,,,,,,,,,
,,2017 - 2018,110.0,120.0,1.09,,,,,,,,,,,,
,,2018 - 2019,53.0,14.0,0.26,,,,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,,,,,,,
,,2022 - 2023,110.0,55.0,0.5,,,,,,,,,,,,
,Satna,2000 - 2001,,,0.18,,,,,,,,,,,,
,,2001 - 2002,,,0.32,,,,,,,,,,,,
,,2002 - 2003,,,0.22,,,,,,,,,,,,
,,2003 - 2004,,,0.32,,,,,,,,,,,,
,,2004 - 2005,,,0.27,,,,,,,,,,,,
,,2005 - 2006,89.0,32.0,0.36,,,,,,,,,,,,
,,2006 - 2007,,718.0,0.2,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,767.0,0.27,,,,,,
,,2009 - 2010,,725.0,0.26,,,,,,,,,,,,
,,2010 - 2011,,824.0,0.37,,,,,,,,,,,,
,,2011 - 2012,,451.0,0.28,,,,,,,,,,,,
,,2012 - 2013,,393.0,0.29,,,,,,,,,,,,
,,2013 - 2014,,279.0,0.26,,,,,,,,,,,,
,,2014 - 2015,,,0.67,,,,,,,,,,,,
,,2015 - 2016,,266.0,0.27,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2018 - 2019,104.0,36.0,0.35,,,,,,,,,,,,
,,2019 - 2020,61.0,14.0,0.23,,,,,,,,,,,,
,,2021 - 2022,125.0,39.0,0.31,,,,,,,,,,,,
,,2022 - 2023,,,1.57,,,,,,,,,,,,
,Sehore,2000 - 2001,11.0,4.0,0.36,,,,,,,,,,,,
,,2001 - 2002,6.0,2.0,0.33,,,,,,,,,,,,
,,2005 - 2006,7.0,3.0,0.43,,,,,,,,,,,,
,Seoni,2000 - 2001,,,0.07,,,,,,,,,,,,
,,2001 - 2002,,,0.19,,,,,,,,,,,,
,,2002 - 2003,,,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.31,,,,,,,,,,,,
,,2004 - 2005,,,0.23,,,,,,,,,,,,
,,2005 - 2006,,,0.52,,,,,,,,,,,,
,,2006 - 2007,,,0.24,49.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.25,,,,,,
,,2009 - 2010,,,0.24,47.0,14.0,0.3,,,,,,,,,
,,2010 - 2011,,,0.28,,,,,,,,,,,,
,,2011 - 2012,,,0.25,,,,,,,,,,,,
,,2012 - 2013,,,0.36,,,,,,,,,,,,
,,2013 - 2014,,,0.27,,,,,,,,,,,,
,,2014 - 2015,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,0.29,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2017 - 2018,,,0.89,,,,,,,,,,,,
,,2018 - 2019,,,0.31,,,,,,,,,,,,
,,2019 - 2020,,,0.4,,,,,,,,,,,,
,,2021 - 2022,,,0.42,,,,,,,,,,,,
,,2022 - 2023,,,0.88,,,,,,,,,,,,
,Shahdol,2000 - 2001,,,0.2,,,,,,,,,,,,
,,2001 - 2002,,,0.27,,,,,,,,,,,,
,,2002 - 2003,,,0.27,,,,,,,,,,,,
,,2003 - 2004,,,0.37,,,,,,,,,,,,
,,2004 - 2005,,,0.3,,,,,,,,,,,,
,,2005 - 2006,21.0,5.0,0.24,,,,,,,,,,,,
,,2006 - 2007,,,0.31,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.36,,,,,,
,,2009 - 2010,,,0.31,,,,,,,,,,,,
,,2010 - 2011,,,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.41,,,,,,,,,,,,
,,2012 - 2013,,,0.46,,,,,,,,,,,,
,,2013 - 2014,,,0.77,,,,,,,,,,,,
,,2014 - 2015,,,0.38,,,,,,,,,,,,
,,2015 - 2016,,,0.71,,,,,,,,,,,,
,,2016 - 2017,,,0.86,,,,,,,,,,,,
,,2017 - 2018,,,1.02,,,,,,,,,,,,
,,2018 - 2019,,,0.54,,,,,,,,,,,,
,,2019 - 2020,,,0.76,,,,,,,,,,,,
,,2021 - 2022,,,0.87,,,,,,,,,,,,
,,2022 - 2023,,,0.49,,,,,,,,,,,,
,Shajapur,2001 - 2002,1.0,0.0,0.0,,,,,,,,,,,,
,,2002 - 2003,9.0,2.0,0.22,,,,,,,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,,,,,,,
,Sheopur,2004 - 2005,34.0,12.0,0.35,,,,,,,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,,,,,,,
,Shivpuri,2000 - 2001,716.0,166.0,0.23,,,,,,,,,,,,
,,2001 - 2002,404.0,115.0,0.28,,,,,,,,,,,,
,,2002 - 2003,354.0,52.0,0.15,,,,,,,,,,,,
,,2003 - 2004,389.0,120.0,0.31,,,,,,,,,,,,
,,2004 - 2005,254.0,55.0,0.22,,,,,,,,,,,,
,,2005 - 2006,109.0,10.0,0.09,,,,,,,,,,,,
,,2006 - 2007,139.0,30.0,0.22,1.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,,,,24.0,4.0,0.17,,,,,,
,,2008 - 2009,,,,,,,147.0,39.0,0.27,,,,,,
,,2009 - 2010,118.0,36.0,0.31,1.0,,0.0,,,,,,,,,
,,2010 - 2011,94.0,29.0,0.31,,,,,,,,,,,,
,,2011 - 2012,63.0,19.0,0.3,,,,,,,,,,,,
,,2012 - 2013,118.0,24.0,0.2,,,,,,,,,,,,
,,2013 - 2014,55.0,14.0,0.25,,,,,,,,,,,,
,Sidhi,2000 - 2001,,,0.26,,,,,,,,,,,,
,,2001 - 2002,,,0.28,,,,,,,,,,,,
,,2002 - 2003,,,0.25,,,,,,,,,,,,
,,2003 - 2004,,,0.37,,,,,,,,,,,,
,,2004 - 2005,,,0.31,,,,,,,,,,,,
,,2005 - 2006,,,0.42,,,,,,,,,,,,
,,2006 - 2007,,,0.33,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.33,,,,,,
,,2009 - 2010,,,0.32,,,,,,,,,,,,
,,2010 - 2011,,,0.38,,,,,,,,,,,,
,,2011 - 2012,,,0.32,,,,,,,,,,,,
,,2012 - 2013,,,0.42,,,,,,,,,,,,
,,2013 - 2014,,,0.6,,,,,,,,,,,,
,,2014 - 2015,,,0.57,,,,,,,,,,,,
,,2015 - 2016,,,0.83,,,,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,,,,
,,2017 - 2018,,,1.04,,,,,,,,,,,,
,,2018 - 2019,892.0,572.0,0.64,,,,,,,,,,,,
,,2019 - 2020,,,0.79,,,,,,,,,,,,
,,2021 - 2022,,,0.8,,,,,,,,,,,,
,,2022 - 2023,,,0.87,,,,,,,,,,,,
,Singrauli,2008 - 2009,,,,,,,,,0.36,,,,,,
,,2009 - 2010,,,0.35,,,,,,,,,,,,
,,2010 - 2011,,,0.4,,,,,,,,,,,,
,,2011 - 2012,,,0.33,,,,,,,,,,,,
,,2012 - 2013,,,0.24,,,,,,,,,,,,
,,2013 - 2014,,,0.95,,,,,,,,,,,,
,,2014 - 2015,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,0.67,,,,,,,,,,,,
,,2016 - 2017,,,0.86,,,,,,,,,,,,
,,2017 - 2018,,,0.97,,,,,,,,,,,,
,,2018 - 2019,,,0.92,,,,,,,,,,,,
,,2019 - 2020,,,1.2,,,,,,,,,,,,
,,2021 - 2022,,,0.7,,,,,,,,,,,,
,,2022 - 2023,,,0.98,,,,,,,,,,,,
,Tikamgarh,2000 - 2001,,,0.29,,,,,,,,,,,,
,,2001 - 2002,,,0.32,,,,,,,,,,,,
,,2002 - 2003,,696.0,0.17,,,,,,,,,,,,
,,2003 - 2004,,,0.35,,,,,,,,,,,,
,,2004 - 2005,,731.0,0.23,,,,,,,,,,,,
,,2005 - 2006,,462.0,0.32,,,,,,,,,,,,
,,2006 - 2007,,379.0,0.21,,,,,,,,,,,,
,,2007 - 2008,,,,,,,74.0,12.0,0.16,,,,,,
,,2008 - 2009,,,,,,,,453.0,0.3,,,,,,
,,2009 - 2010,955.0,279.0,0.29,,,,,,,,,,,,
,,2010 - 2011,838.0,258.0,0.31,,,,,,,,,,,,
,,2011 - 2012,626.0,115.0,0.18,,,,,,,,,,,,
,,2012 - 2013,290.0,53.0,0.18,,,,,,,,,,,,
,,2013 - 2014,164.0,51.0,0.31,,,,,,,,,,,,
,,2017 - 2018,20.0,10.0,0.5,,,,,,,,,,,,
,Ujjain,2001 - 2002,1.0,0.0,0.0,,,,,,,,,,,,
,Umaria,2000 - 2001,,,0.12,,,,,,,,,,,,
,,2001 - 2002,,,0.27,,,,,,,,,,,,
,,2002 - 2003,,,0.02,,,,,,,,,,,,
,,2003 - 2004,,,0.38,,,,,,,,,,,,
,,2004 - 2005,,,0.35,,,,,,,,,,,,
,,2005 - 2006,8.0,2.0,0.25,,,,,,,,,,,,
,,2006 - 2007,,,0.26,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.26,,,,,,
,,2009 - 2010,,,0.31,,,,,,,,,,,,
,,2010 - 2011,,,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.37,,,,,,,,,,,,
,,2012 - 2013,,,0.47,,,,,,,,,,,,
,,2013 - 2014,,,0.84,,,,,,,,,,,,
,,2014 - 2015,,,0.57,,,,,,,,,,,,
,,2015 - 2016,,,0.67,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2017 - 2018,,,1.19,,,,,,,,,,,,
,,2018 - 2019,,,0.69,,,,,,,,,,,,
,,2019 - 2020,,,1.09,,,,,,,,,,,,
,,2021 - 2022,,,0.91,,,,,,,,,,,,
,,2022 - 2023,,,0.87,,,,,,,,,,,,
,Vidisha,2000 - 2001,376.0,113.0,0.3,,,,,,,,,,,,
,,2001 - 2002,366.0,120.0,0.33,,,,,,,,,,,,
,,2002 - 2003,444.0,125.0,0.28,,,,,,,,,,,,
,,2003 - 2004,397.0,128.0,0.32,,,,,,,,,,,,
,,2004 - 2005,342.0,111.0,0.32,,,,,,,,,,,,
,,2005 - 2006,175.0,111.0,0.63,,,,,,,,,,,,
,,2006 - 2007,276.0,164.0,0.59,182.0,,0.0,,,,,,,,,
,,2008 - 2009,,,,,,,287.0,88.0,0.31,,,,,,
,,2009 - 2010,200.0,71.0,0.36,116.0,32.0,0.28,,,,,,,,,
,,2010 - 2011,289.0,89.0,0.31,,,,,,,,,,,,
,,2011 - 2012,112.0,77.0,0.69,,,,,,,,,,,,
,,2012 - 2013,147.0,75.0,0.51,,,,,,,,,,,,
,,2013 - 2014,81.0,28.0,0.35,,,,,,,,,,,,
,,2015 - 2016,,395.0,0.4,,,,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,,,,
,,2022 - 2023,500.0,531.0,1.06,,,,,,,,,,,,
Maharashtra,Ahilyanagar,2000 - 2001,,,0.56,,,,,,,,,,,,
,,2001 - 2002,,900.0,0.64,,,0.48,,,,,,,,,
,,2002 - 2003,,,0.38,,400.0,0.24,,,,,,,,,
,,2003 - 2004,,400.0,0.31,900.0,100.0,0.11,,,,,,,,,
,,2004 - 2005,,,0.34,900.0,200.0,0.22,,,,,,,,,
,,2005 - 2006,,400.0,0.4,600.0,300.0,0.5,,,,,,,,,
,,2006 - 2007,,,0.36,400.0,100.0,0.25,,,,,,,,,
,,2007 - 2008,,,0.5,400.0,100.0,0.25,,,,,,,,,
,,2008 - 2009,,700.0,0.32,400.0,100.0,0.25,,,,,,,,,
,,2009 - 2010,,200.0,0.17,,400.0,0.4,,,,,,,,,
,,2010 - 2011,,200.0,0.18,,,0.86,,,,,,,,,
,,2011 - 2012,,300.0,0.16,100.0,40.0,0.4,,,,,,,,,
,,2012 - 2013,,100.0,0.09,900.0,100.0,0.11,,,,,,,,,
,,2013 - 2014,,600.0,0.23,200.0,100.0,0.5,,,,,,,,,
,,2014 - 2015,900.0,300.0,0.33,,,,,,,,,,,,
,,2015 - 2016,,500.0,0.18,700.0,100.0,0.14,,,,10.0,10.0,1.0,,,
,Akola,2000 - 2001,,800.0,0.62,,,,,,,,,,,,
,,2001 - 2002,700.0,400.0,0.57,,,,,,,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,,,,,,,,,,
,,2005 - 2006,300.0,200.0,0.67,,,,,,,,,,,,
,,2006 - 2007,300.0,100.0,0.33,,,,,,,,,,,,
,,2007 - 2008,300.0,100.0,0.33,,,,,,,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,2.37,,,,,,,,,
,,2012 - 2013,100.0,100.0,1.0,,,,,,,,,,,,
,,2014 - 2015,800.0,400.0,0.5,,,,,,,,,,,,
,Amravati,2000 - 2001,,,0.61,,,,,,,,,,,,
,,2001 - 2002,,,0.63,,,,,,,,,,,,
,,2002 - 2003,,600.0,0.46,,,,,,,,,,,,
,,2003 - 2004,,700.0,0.64,,,,,,,,,,,,
,,2004 - 2005,,300.0,0.3,800.0,400.0,0.5,,,,,,,,,
,,2005 - 2006,400.0,200.0,0.5,800.0,900.0,1.13,,,,,,,,,
,,2007 - 2008,200.0,100.0,0.5,,,,,,,,,,,,
,,2008 - 2009,,,0.45,,,,,,,,,,,,
,,2009 - 2010,500.0,200.0,0.4,,,,,,,,,,,,
,,2010 - 2011,500.0,200.0,0.4,,,1.91,,,,,,,,,
,,2011 - 2012,600.0,300.0,0.5,,,,,,,,,,,,
,,2012 - 2013,200.0,100.0,0.5,200.0,100.0,0.5,,,,,,,,,
,,2013 - 2014,,700.0,0.5,,,,,,,,,,,,
,,2014 - 2015,200.0,100.0,0.5,100.0,,0.0,,,,,,,,,
,Beed,2000 - 2001,500.0,300.0,0.6,,,,,,,,,,,,
,,2001 - 2002,300.0,200.0,0.67,,,,,,,,,,,,
,,2002 - 2003,,300.0,0.21,,,,,,,,,,,,
,,2003 - 2004,,500.0,0.38,,,,,,,,,,,,
,,2004 - 2005,700.0,200.0,0.29,,,,,,,,,,,,
,,2005 - 2006,,600.0,0.6,,,,,,,,,,,,
,,2006 - 2007,,400.0,0.33,,,,,,,,,,,,
,,2007 - 2008,,700.0,0.54,,,,,,,,,,,,
,,2008 - 2009,,400.0,0.25,,,,,,,,,,,,
,,2009 - 2010,,400.0,0.25,,,,,,,,,,,,
,,2010 - 2011,,400.0,0.4,,,0.87,,,,,,,,,
,,2011 - 2012,,400.0,0.4,,,,,,,,,,,,
,,2012 - 2013,,500.0,0.29,,,,,,,,,,,,
,,2013 - 2014,,,0.93,100.0,,0.0,,,,,,,,,
,,2014 - 2015,,500.0,0.45,100.0,100.0,1.0,,,,,,,,,
,,2015 - 2016,800.0,200.0,0.25,,,,,,,100.0,,0.0,,,
,Bhandara,2000 - 2001,600.0,400.0,0.67,,,,,,,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.09,,,,,,,,,
,,2014 - 2015,100.0,,0.0,,,,,,,,,,,,
,Buldhana,2000 - 2001,,,0.65,400.0,100.0,0.25,,,,,,,,,
,,2001 - 2002,,,0.7,,,,,,,,,,,,
,,2003 - 2004,200.0,100.0,0.5,,,,,,,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,,,,,,,,,,
,,2005 - 2006,200.0,100.0,0.5,,,,,,,,,,,,
,,2006 - 2007,100.0,100.0,1.0,,,,,,,,,,,,
,,2007 - 2008,400.0,200.0,0.5,,,,,,,,,,,,
,,2008 - 2009,200.0,100.0,0.5,,,,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,,,,
,,2010 - 2011,100.0,50.0,0.5,,,1.58,,,,,,,,,
,,2012 - 2013,300.0,200.0,0.67,,,,,,,,,,,,
,,2013 - 2014,700.0,400.0,0.57,100.0,100.0,1.0,,,,,,,,,
,,2014 - 2015,400.0,100.0,0.25,300.0,100.0,0.33,,,,,,,,,
,,2015 - 2016,,,0.52,500.0,300.0,0.6,,,,,,,,,
,Chandrapur,2000 - 2001,,900.0,0.69,,,,,,,,,,,,
,,2001 - 2002,700.0,500.0,0.71,,,,,,,,,,,,
,,2002 - 2003,500.0,300.0,0.6,100.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,600.0,400.0,0.67,500.0,300.0,0.6,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,,,,
,,2005 - 2006,700.0,400.0,0.57,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,300.0,400.0,1.33,400.0,300.0,0.75,,,,,,,,,
,,2007 - 2008,200.0,200.0,1.0,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,,,,
,,2010 - 2011,300.0,200.0,0.67,,,0.99,,,,,,,,,
,,2011 - 2012,100.0,40.0,0.4,100.0,20.0,0.2,,,,,,,,,
,,2012 - 2013,100.0,20.0,0.2,,,,,,,,,,,,
,,2013 - 2014,200.0,100.0,0.5,300.0,200.0,0.67,,,,,,,,,
,,2014 - 2015,,400.0,0.4,,300.0,0.23,,,,,,,,,
,,2015 - 2016,100.0,,0.0,,,,,,,,,,,,
,Chhatrapati Sambhajinagar,2000 - 2001,,,0.59,,,,,,,,,,,,
,,2001 - 2002,,,0.65,200.0,100.0,0.5,,,,,,,,,
,,2003 - 2004,,600.0,0.27,,,,,,,,,,,,
,,2004 - 2005,,,0.61,,,,,,,,,,,,
,,2005 - 2006,,500.0,0.5,,,,,,,,,,,,
,,2006 - 2007,,700.0,0.3,,,,,,,,,,,,
,,2007 - 2008,300.0,200.0,0.67,,,,,,,,,,,,
,,2008 - 2009,900.0,,1.22,,,,,,,,,,,,
,,2009 - 2010,500.0,200.0,0.4,,,,,,,,,,,,
,,2010 - 2011,600.0,300.0,0.5,,,1.46,,,,,,,,,
,,2011 - 2012,200.0,100.0,0.5,,,,,,,,,,,,
,,2012 - 2013,800.0,200.0,0.25,900.0,300.0,0.33,,,,,,,,,
,,2013 - 2014,,800.0,0.4,500.0,200.0,0.4,,,,,,,,,
,,2014 - 2015,,700.0,0.39,,600.0,0.21,,,,,,,,,
,,2015 - 2016,,400.0,0.25,,,0.19,,,,100.0,20.0,0.2,,,
,Dharashiv,2000 - 2001,,,0.63,600.0,300.0,0.5,,,,,,,,,
,,2001 - 2002,,,0.67,,600.0,0.5,,,,,,,,,
,,2002 - 2003,500.0,200.0,0.4,,,,,,,,,,,,
,,2003 - 2004,600.0,300.0,0.5,800.0,200.0,0.25,,,,,,,,,
,,2004 - 2005,,600.0,0.55,400.0,200.0,0.5,,,,,,,,,
,,2006 - 2007,,,0.92,,,,,,,,,,,,
,,2007 - 2008,,700.0,0.58,600.0,200.0,0.33,,,,,,,,,
,,2008 - 2009,,300.0,0.23,400.0,100.0,0.25,,,,,,,,,
,,2009 - 2010,900.0,100.0,0.11,,,,,,,,,,,,
,,2010 - 2011,600.0,100.0,0.17,,,0.79,,,,,,,,,
,,2011 - 2012,800.0,200.0,0.25,500.0,200.0,0.4,,,,,,,,,
,,2012 - 2013,,600.0,0.35,700.0,300.0,0.43,,,,,,,,,
,,2013 - 2014,,500.0,0.29,,400.0,0.33,,,,,,,,,
,,2014 - 2015,,300.0,0.27,,300.0,0.23,,,,,,,,,
,,2015 - 2016,900.0,100.0,0.11,,100.0,0.08,,,,,,,,,
,Dhule,2000 - 2001,,,0.64,,,,,,,,,,,,
,,2001 - 2002,,,0.67,300.0,100.0,0.33,,,,,,,,,
,,2002 - 2003,,700.0,0.64,700.0,400.0,0.57,,,,,,,,,
,,2003 - 2004,,900.0,0.82,,,,,,,,,,,,
,,2004 - 2005,,800.0,0.53,200.0,100.0,0.5,,,,,,,,,
,,2005 - 2006,,,0.66,100.0,,0.0,,,,,,,,,
,,2006 - 2007,,700.0,0.5,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,,700.0,0.54,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,,500.0,0.21,100.0,,0.0,,,,,,,,,
,,2009 - 2010,500.0,100.0,0.2,100.0,,0.0,,,,,,,,,
,,2010 - 2011,700.0,300.0,0.43,,,2.09,,,,,,,,,
,,2011 - 2012,800.0,400.0,0.5,400.0,200.0,0.5,,,,,,,,,
,,2012 - 2013,,700.0,0.3,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,,600.0,0.38,100.0,,0.0,,,,,,,,,
,,2014 - 2015,,,0.3,500.0,100.0,0.2,,,,,,,,,
,,2015 - 2016,,800.0,0.62,100.0,100.0,1.0,,,,100.0,50.0,0.5,,,
,Gadchiroli,2000 - 2001,,800.0,0.67,,,,,,,,,,,,
,,2001 - 2002,600.0,400.0,0.67,,600.0,0.46,,,,,,,,,
,,2002 - 2003,200.0,100.0,0.5,900.0,200.0,0.22,,,,,,,,,
,,2003 - 2004,500.0,500.0,1.0,,,,,,,,,,,,
,,2004 - 2005,500.0,300.0,0.6,,,,,,,,,,,,
,,2005 - 2006,100.0,,0.0,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,200.0,100.0,0.5,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,600.0,200.0,0.33,,,,,,,,,,,,
,,2008 - 2009,700.0,,1.43,,,,,,,,,,,,
,,2009 - 2010,600.0,300.0,0.5,,,,,,,,,,,,
,,2010 - 2011,100.0,100.0,1.0,,,1.05,,,,,,,,,
,,2011 - 2012,100.0,40.0,0.4,,,,,,,,,,,,
,,2012 - 2013,100.0,20.0,0.2,100.0,30.0,0.3,,,,,,,,,
,,2013 - 2014,100.0,,0.0,,,,,,,,,,,,
,,2014 - 2015,,,,100.0,,0.0,,,,,,,,,
,Gondia,2000 - 2001,800.0,600.0,0.75,,,,,,,,,,,,
,,2001 - 2002,900.0,600.0,0.67,,,,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,
,,2003 - 2004,600.0,300.0,0.5,,,,,,,,,,,,
,,2004 - 2005,400.0,100.0,0.25,,,,,,,,,,,,
,,2005 - 2006,500.0,300.0,0.6,,,,,,,,,,,,
,,2007 - 2008,200.0,100.0,0.5,,,,,,,,,,,,
,,2008 - 2009,200.0,100.0,0.5,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.79,,,,,,,,,
,,2012 - 2013,100.0,20.0,0.2,,,,,,,,,,,,
,,2015 - 2016,,,,10.0,2.0,0.2,,,,,,,,,
,Hingoli,2000 - 2001,600.0,400.0,0.67,,,,,,,,,,,,
,,2001 - 2002,300.0,200.0,0.67,200.0,100.0,0.5,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,400.0,200.0,0.5,,,,,,,,,
,,2003 - 2004,100.0,100.0,1.0,400.0,200.0,0.5,,,,,,,,,
,,2004 - 2005,300.0,100.0,0.33,,,,,,,,,,,,
,,2005 - 2006,200.0,100.0,0.5,300.0,100.0,0.33,,,,,,,,,
,,2006 - 2007,200.0,200.0,1.0,,,,,,,,,,,,
,,2007 - 2008,100.0,100.0,1.0,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,500.0,100.0,0.2,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,100.0,,0.0,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,100.0,20.0,0.2,,,1.24,,,,,,,,,
,,2011 - 2012,,,,200.0,100.0,0.5,,,,,,,,,
,,2012 - 2013,200.0,100.0,0.5,100.0,40.0,0.4,,,,,,,,,
,,2013 - 2014,800.0,300.0,0.38,300.0,200.0,0.67,,,,,,,,,
,,2014 - 2015,,,0.3,900.0,200.0,0.22,,,,,,,,,
,,2015 - 2016,,,,20.0,4.0,0.2,,,,300.0,,0.0,,,
,Jalgaon,2000 - 2001,,,0.55,,,,,,,,,,,,
,,2001 - 2002,,,0.61,,700.0,0.47,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,
,,2003 - 2004,200.0,100.0,0.5,,,,,,,,,,,,
,,2004 - 2005,700.0,300.0,0.43,,,,,,,,,,,,
,,2005 - 2006,800.0,400.0,0.5,,,,,,,,,,,,
,,2006 - 2007,200.0,100.0,0.5,,,,,,,,,,,,
,,2007 - 2008,300.0,100.0,0.33,100.0,,0.0,,,,,,,,,
,,2008 - 2009,100.0,,0.0,,,,,,,,,,,,
,,2009 - 2010,200.0,100.0,0.5,,,,,,,,,,,,
,,2010 - 2011,500.0,200.0,0.4,,,2.18,,,,,,,,,
,,2011 - 2012,500.0,200.0,0.4,,,,,,,,,,,,
,,2012 - 2013,,400.0,0.29,,,,,,,,,,,,
,,2013 - 2014,,800.0,0.62,,,,,,,,,,,,
,,2014 - 2015,,,0.33,,,0.88,,,,,,,,,
,,2015 - 2016,,300.0,0.27,,,,,,,,,0.88,,,
,Jalna,2000 - 2001,,,0.58,,,,,,,,,,,,
,,2001 - 2002,,,0.63,100.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,300.0,100.0,0.33,,,,,,,,,,,,
,,2003 - 2004,,400.0,0.4,,,,,,,,,,,,
,,2004 - 2005,500.0,100.0,0.2,,,,,,,,,,,,
,,2005 - 2006,,800.0,0.53,,,,,,,,,,,,
,,2006 - 2007,,800.0,0.31,,,,,,,,,,,,
,,2007 - 2008,,,0.44,,,,,,,,,,,,
,,2008 - 2009,700.0,100.0,0.14,,,,,,,,,,,,
,,2009 - 2010,,400.0,0.2,,,,,,,,,,,,
,,2010 - 2011,200.0,100.0,0.5,,,0.97,,,,,,,,,
,,2011 - 2012,200.0,100.0,0.5,,,,,,,,,,,,
,,2013 - 2014,400.0,200.0,0.5,100.0,,0.0,,,,,,,,,
,,2014 - 2015,,800.0,0.53,,,,,,,,,,,,
,Kolhapur,2000 - 2001,,,0.61,500.0,100.0,0.2,,,,,,,,,
,,2001 - 2002,,,0.65,,,,,,,,,,,,
,,2002 - 2003,,,0.93,,,,,,,,,,,,
,,2003 - 2004,,,0.58,100.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,,,,
,,2005 - 2006,,,0.37,,,,,,,,,,,,
,,2006 - 2007,,,0.5,100.0,,0.0,,,,,,,,,
,,2007 - 2008,,,0.52,200.0,100.0,0.5,,,,,,,,,
,,2008 - 2009,,,0.52,,,,,,,,,,,,
,,2009 - 2010,,800.0,0.36,,,,,,,,,,,,
,,2010 - 2011,,900.0,0.39,,,2.01,,,,,,,,,
,,2011 - 2012,,800.0,0.38,,,,,,,,,,,,
