state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
,,2005 - 2006,,,1.03,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.2,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.1,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.1,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.23,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.09,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.06,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.16,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.63,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.58,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.67,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.78,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.44,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.57,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.04,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.78,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.93,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.83,,,,,,,,,,,,,,,
,Solapur,2016 - 2017,100.0,50.0,0.5,,,,,,,,,,,,,,,
,,2019 - 2020,185.0,155.0,0.84,,,,,,,,,,,,,,,
,,2020 - 2021,4.0,3.15,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,4.0,4.73,1.18,,,,,,,,,,,,,,,
,Thane,2000 - 2001,,,0.44,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.82,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.41,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.78,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.01,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.91,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.8,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.73,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.82,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.61,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.51,,,,,,,,,,,,,,,
,,2011 - 2012,,,0.65,,,,,,,,,,,,,,,
,,2012 - 2013,,,0.79,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.81,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.68,,,,,,,,,,,,,,,
,,2015 - 2016,300.0,200.0,0.67,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.71,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.54,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.89,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.72,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.87,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.01,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.03,,,,,,,,,,,,,,,
Nagaland,Chumoukedima,2022 - 2023,33.0,32.0,0.97,,,,,,,,,,,,,,,
,Dimapur,2009 - 2010,40.0,30.0,0.75,,,,,,,,,,,,,,,
,,2010 - 2011,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2015 - 2016,40.0,50.0,1.25,,,,,,,,,,,,,,,
,,2016 - 2017,40.0,50.0,1.25,,,,,,,,,,,,,,,
,,2017 - 2018,50.0,50.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,50.0,50.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,50.0,50.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,50.0,50.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,40.0,25.0,0.63,,,,,,,,,,,,,,,
,,2022 - 2023,9.0,9.0,1.0,,,,,,,,,,,,,,,
,Kiphire,2009 - 2010,30.0,20.0,0.67,,,,,,,,,,,,,,,
,,2010 - 2011,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2015 - 2016,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,30.0,20.0,0.67,,,,,,,,,,,,,,,
,,2022 - 2023,31.0,30.0,0.97,,,,,,,,,,,,,,,
,Longleng,2009 - 2010,20.0,10.0,0.5,,,,,,,,,,,,,,,
,,2010 - 2011,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2015 - 2016,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,20.0,20.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,30.0,30.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,50.0,32.0,0.64,,,,,,,,,,,,,,,
,,2022 - 2023,30.0,29.0,0.97,,,,,,,,,,,,,,,
,Mokokchung,2009 - 2010,70.0,50.0,0.71,,,,,,,,,,,,,,,
,,2010 - 2011,60.0,50.0,0.83,,,,,,,,,,,,,,,
,,2011 - 2012,70.0,60.0,0.86,,,,,,,,,,,,,,,
,,2012 - 2013,70.0,60.0,0.86,,,,,,,,,,,,,,,
,,2013 - 2014,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2014 - 2015,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2015 - 2016,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2016 - 2017,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,80.0,80.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,80.0,80.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,80.0,80.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,80.0,80.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,70.0,45.0,0.64,,,,,,,,,,,,,,,
,,2022 - 2023,70.0,68.0,0.97,,,,,,,,,,,,,,,
,Mon,2009 - 2010,60.0,40.0,0.67,,,,,,,,,,,,,,,
,,2010 - 2011,50.0,50.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2015 - 2016,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,40.0,38.0,0.95,,,,,,,,,,,,,,,
,Noklak,2021 - 2022,40.0,26.0,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,33.0,32.0,0.97,,,,,,,,,,,,,,,
,Nuiland,2022 - 2023,8.0,8.0,1.0,,,,,,,,,,,,,,,
,Peren,2021 - 2022,30.0,19.0,0.63,,,,,,,,,,,,,,,
,,2022 - 2023,30.0,29.0,0.97,,,,,,,,,,,,,,,
,Shamator,2022 - 2023,16.0,16.0,1.0,,,,,,,,,,,,,,,
,Tuensang,2009 - 2010,80.0,60.0,0.75,,,,,,,,,,,,,,,
,,2010 - 2011,70.0,60.0,0.86,,,,,,,,,,,,,,,
,,2011 - 2012,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2012 - 2013,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2013 - 2014,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2014 - 2015,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2015 - 2016,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2016 - 2017,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2018 - 2019,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2019 - 2020,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2020 - 2021,80.0,70.0,0.88,,,,,,,,,,,,,,,
,,2021 - 2022,80.0,52.0,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,47.0,45.0,0.96,,,,,,,,,,,,,,,
,Wokha,2009 - 2010,50.0,30.0,0.6,,,,,,,,,,,,,,,
,,2010 - 2011,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2015 - 2016,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,40.0,40.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,40.0,38.0,0.95,,,,,,,,,,,,,,,
Odisha,Anugul,2000 - 2001,308.0,111.5,0.36,,,,,,,,,,,,,,,
,,2001 - 2002,183.0,60.0,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,113.0,35.8,0.32,,,,,,,,,,,,,,,
,,2003 - 2004,72.0,29.9,0.42,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,6.0,2.6,0.43,,,,,,,,,
,,2005 - 2006,,,,,,,79.0,38.2,0.48,,,,,,,,,
,,2006 - 2007,,,,,,,185.0,87.3,0.47,,,,,,,,,
,,2007 - 2008,,,,,,,20.0,9.8,0.49,,,,,,,,,
,,2008 - 2009,,,,,,,9.0,4.6,0.51,,,,,,,,,
,,2009 - 2010,,,,,,,7.0,3.1,0.44,,,,,,,,,
,,2010 - 2011,,,,,,,4.0,2.2,0.55,,,,,,,,,
,,2011 - 2012,,,,,,,3.0,1.7,0.57,,,,,,,,,
,,2012 - 2013,,,,,,,2.0,1.3,0.65,,,,,,,,,
,,2014 - 2015,,,,,,,1.0,0.6,0.6,,,,,,,,,
,,2015 - 2016,,,,,,,1.0,0.7,0.7,,,,,,,,,
,,2016 - 2017,,,,,,,5.0,3.5,0.7,,,,,,,,,
,,2018 - 2019,,,,,,,1.0,1.6,1.6,,,,,,,23.0,4.8,0.21
,,2021 - 2022,,,,,,,4.0,3.3,0.83,,,,,,,,,
,,2022 - 2023,,,,,,,,900.4,0.72,28.0,15.3,0.55,,,,,,
,Balangir,2000 - 2001,,472.7,0.31,,,,,,,,,,,,,,,
,,2001 - 2002,,470.3,0.39,,,,,,,,,,,,,,,
,,2002 - 2003,,425.4,0.25,,,,,,,,,,,,,,,
,,2003 - 2004,984.0,375.8,0.38,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,371.7,0.37,,,,,,,6.0,3.4,0.57
,,2005 - 2006,,,,,,,845.0,333.8,0.4,,,,,,,4.0,2.7,0.68
,,2006 - 2007,,,,,,,930.0,412.0,0.44,,,,,,,,,
,,2007 - 2008,,,,,,,,514.0,0.5,,,,,,,7.0,4.4,0.63
,,2008 - 2009,,,,,,,,544.2,0.4,,,,,,,,,
,,2009 - 2010,,,,,,,,508.2,0.46,,,,,,,,,
,,2010 - 2011,,,,,,,,530.8,0.43,,,,,,,2.0,1.1,0.55
,,2011 - 2012,,,,,,,509.0,135.4,0.27,,,,,,,,,
,,2012 - 2013,,,,,,,366.0,236.4,0.65,,,,,,,,,
,,2013 - 2014,,,,,,,248.0,244.5,0.99,,,,,,,,,
,,2016 - 2017,,,,,,,436.0,123.8,0.28,,,,,,,,,
,,2019 - 2020,,,,,,,,,,,,,,,,54.0,7.2,0.13
,,2020 - 2021,,,,,,,36.0,6.7,0.19,,,,,,,,,
,,2021 - 2022,,,,,,,,409.4,0.38,,,,,,,49.0,14.6,0.3
,,2022 - 2023,,,,,,,454.0,130.8,0.29,,,,,,,,,
,Bargarh,2000 - 2001,26.0,3.2,0.12,,,,,,,,,,,,,,,
,,2001 - 2002,4.0,2.0,0.5,,,,,,,,,,,,,,,
,,2002 - 2003,3.0,1.4,0.47,,,,,,,,,,,,,,,
,,2003 - 2004,2.0,0.3,0.15,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,2.0,1.1,0.55,,,,,,,,,
,,2005 - 2006,,,,,,,,,,,,,,,,1.0,0.1,0.1
,,2006 - 2007,,,,,,,,,,,,,,,,1.0,0.3,0.3
,,2007 - 2008,,,,,,,1.0,0.5,0.5,,,,,,,1.0,0.1,0.1
,,2008 - 2009,,,,,,,7.0,2.5,0.36,,,,,,,10.0,2.1,0.21
,,2009 - 2010,,,,,,,,,,,,,,,,17.0,5.5,0.32
,,2012 - 2013,,,,,,,1.0,0.6,0.6,,,,,,,,,
,,2014 - 2015,,,,,,,1.0,0.8,0.8,,,,,,,,,
,,2016 - 2017,,,,,,,1.0,0.6,0.6,,,,,,,,,
,,2019 - 2020,,,,,,,,,,,,,,,,27.0,12.0,0.44
,,2020 - 2021,,,,,,,,,,2.0,2.5,1.25,,,,52.0,44.4,0.85
,,2021 - 2022,,,,,,,,,,3.0,1.2,0.4,,,,133.0,27.4,0.21
,,2022 - 2023,,,,,,,13.0,3.3,0.25,60.0,22.4,0.37,,,,402.0,86.4,0.21
,Boudh,2000 - 2001,46.0,8.3,0.18,,,,,,,,,,,,,,,
,,2001 - 2002,11.0,3.6,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,2.0,0.6,0.3,,,,,,,,,,,,,,,
,,2003 - 2004,3.0,1.6,0.53,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,8.0,5.6,0.7,,,,,,,5.0,2.0,0.4
,,2005 - 2006,,,,,,,7.0,3.6,0.51,3.0,2.8,0.93,,,,,,
,,2006 - 2007,,,,,,,13.0,4.9,0.38,1.0,0.5,0.5,,,,,,
,,2007 - 2008,,,,,,,9.0,3.5,0.39,,,,,,,,,
,,2008 - 2009,,,,,,,1.0,0.6,0.6,1.0,0.5,0.5,,,,1.0,0.7,0.7
,,2009 - 2010,,,,,,,3.0,1.5,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,6.0,2.9,0.48,,,,,,,,,
,,2011 - 2012,,,,,,,1.0,0.4,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,1.0,0.3,0.3,,,,,,,,,
,,2013 - 2014,,,,,,,1.0,0.2,0.2,,,,,,,,,
,,2022 - 2023,,,,,,,,,,1.0,0.3,0.3,,,,,,
,Cuttack,2000 - 2001,185.0,129.1,0.7,,,,,,,,,,,,,,,
,,2001 - 2002,47.0,24.6,0.52,,,,,,,,,,,,,,,
,,2002 - 2003,20.0,9.6,0.48,,,,,,,,,,,,,,,
,,2003 - 2004,26.0,9.8,0.38,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,29.0,16.3,0.56,,,,,,,,,
,,2005 - 2006,,,,,,,38.0,24.0,0.63,,,,,,,,,
,,2006 - 2007,,,,,,,53.0,38.6,0.73,,,,,,,,,
,,2007 - 2008,,,,,,,40.0,31.1,0.78,,,,,,,,,
,,2008 - 2009,,,,,,,42.0,22.5,0.54,,,,,,,,,
,,2009 - 2010,,,,,,,11.0,7.8,0.71,,,,,,,,,
,,2010 - 2011,,,,,,,36.0,26.4,0.73,,,,,,,,,
,,2011 - 2012,,,,,,,43.0,29.8,0.69,,,,,,,,,
,,2012 - 2013,,,,,,,15.0,13.4,0.89,,,,,,,,,
,,2021 - 2022,,,,,,,37.0,26.7,0.72,,,,,,,,,
,Deogarh,2000 - 2001,7.0,2.1,0.3,,,,,,,,,,,,,,,
,,2001 - 2002,18.0,8.0,0.44,,,,,,,,,,,,,,,
,,2002 - 2003,1.0,0.3,0.3,,,,,,,,,,,,,,,
,,2003 - 2004,1.0,0.2,0.2,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,,,,1.0,,0.0
,,2006 - 2007,,,,,,,,,,,,,,,,1.0,0.5,0.5
,,2007 - 2008,,,,,,,1.0,0.2,0.2,,,,,,,,,
,,2010 - 2011,,,,,,,1.0,0.4,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,21.0,9.9,0.47,,,,,,,,,
,Dhenkanal,2000 - 2001,67.0,20.7,0.31,,,,,,,,,,,,,,,
,,2001 - 2002,25.0,11.4,0.46,,,,,,,,,,,,,,,
,,2002 - 2003,6.0,2.5,0.42,,,,,,,,,,,,,,,
,,2003 - 2004,26.0,13.5,0.52,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,13.0,5.2,0.4,,,,,,,,,
,,2005 - 2006,,,,,,,5.0,1.8,0.36,,,,,,,,,
,,2006 - 2007,,,,,,,6.0,2.9,0.48,,,,,,,,,
,,2007 - 2008,,,,,,,13.0,8.5,0.65,,,,,,,,,
,,2008 - 2009,,,,,,,21.0,10.6,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,6.0,2.6,0.43,,,,,,,,,
,,2010 - 2011,,,,,,,1.0,0.6,0.6,,,,,,,,,
,,2011 - 2012,,,,,,,2.0,0.9,0.45,,,,,,,,,
,,2012 - 2013,,,,,,,1.0,0.8,0.8,,,,,,,,,
,,2013 - 2014,,,,,,,1.0,0.4,0.4,,,,,,,,,
,,2015 - 2016,,,,,,,2.0,1.1,0.55,,,,,,,,,
,,2016 - 2017,,,,,,,1.0,0.6,0.6,,,,,,,,,
,,2020 - 2021,,,,,,,3.0,1.3,0.43,,,,,,,,,
,,2021 - 2022,,,,,,,7.0,4.7,0.67,,,,,,,,,
,,2022 - 2023,,,,,,,16.0,9.6,0.6,28.0,22.1,0.79,,,,,,
,Gajapati,2000 - 2001,,,0.86,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.85,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.76,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.71,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,0.83,13.0,6.4,0.49,,,,4.0,2.6,0.65
,,2005 - 2006,,,,,,,,,0.75,14.0,8.0,0.57,,,,54.0,26.5,0.49
,,2006 - 2007,,,,,,,,,0.71,10.0,5.7,0.57,,,,59.0,31.2,0.53
,,2007 - 2008,,,,,,,,,0.75,43.0,26.9,0.63,,,,75.0,37.7,0.5
,,2008 - 2009,,,,,,,,,0.73,18.0,10.8,0.6,,,,81.0,43.3,0.53
,,2009 - 2010,,,,,,,,,0.75,9.0,4.6,0.51,,,,48.0,27.6,0.58
,,2010 - 2011,,,,,,,,,0.8,39.0,27.6,0.71,,,,13.0,9.3,0.72
,,2011 - 2012,,,,,,,,,0.87,26.0,18.3,0.7,,,,31.0,10.6,0.34
,,2012 - 2013,,,,,,,,798.1,0.78,26.0,17.8,0.68,,,,2.0,1.7,0.85
,,2013 - 2014,,,,,,,,813.0,0.77,7.0,5.2,0.74,,,,1.0,0.8,0.8
,,2014 - 2015,,,,,,,864.0,620.4,0.72,11.0,6.9,0.63,,,,11.0,8.1,0.74
,,2015 - 2016,,,,,,,727.0,592.5,0.81,15.0,10.5,0.7,,,,64.0,36.9,0.58
,,2016 - 2017,,,,,,,912.0,729.6,0.8,2.0,1.4,0.7,,,,36.0,29.8,0.83
,,2017 - 2018,,,,,,,627.0,572.5,0.91,13.0,11.7,0.9,,,,1.0,0.7,0.7
,,2018 - 2019,,,,,,,583.0,453.6,0.78,4.0,3.3,0.83,,,,16.0,14.3,0.89
,,2019 - 2020,,,,,,,,935.8,0.84,14.0,7.4,0.53,,,,24.0,21.6,0.9
,,2020 - 2021,,,,,,,524.0,483.1,0.92,5.0,3.3,0.66,,,,,,
,,2021 - 2022,,,,,,,,,0.99,23.0,22.4,0.97,,,,35.0,37.8,1.08
,,2022 - 2023,,,,,,,,,0.94,44.0,50.8,1.15,,,,,,
,Ganjam,2000 - 2001,,,0.87,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.79,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.85,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,0.85,123.0,108.4,0.88,,,,42.0,32.9,0.78
,,2005 - 2006,,,,,,,,,0.84,131.0,116.5,0.89,,,,139.0,132.2,0.95
,,2006 - 2007,,,,,,,,,0.89,107.0,96.5,0.9,,,,62.0,59.9,0.97
,,2007 - 2008,,,,,,,,,0.94,178.0,184.2,1.03,,,,49.0,45.7,0.93
,,2008 - 2009,,,,,,,,,0.97,130.0,115.8,0.89,,,,19.0,23.5,1.24
,,2009 - 2010,,,,,,,,,0.99,71.0,73.1,1.03,,,,10.0,12.8,1.28
,,2010 - 2011,,,,,,,,,0.99,68.0,68.1,1.0,,,,14.0,18.6,1.33
,,2011 - 2012,,,,,,,,,0.88,6.0,4.7,0.78,,,,,,
,,2012 - 2013,,,,,,,,,0.94,13.0,15.5,1.19,,,,10.0,12.2,1.22
,,2013 - 2014,,,,,,,,,0.77,36.0,38.5,1.07,,,,6.0,9.0,1.5
,,2014 - 2015,,,,,,,,,0.93,109.0,102.2,0.94,,,,,,
,,2015 - 2016,,,,,,,,,0.95,136.0,150.7,1.11,,,,29.0,42.1,1.45
,,2016 - 2017,,,,,,,,,0.99,14.0,9.9,0.71,,,,11.0,18.0,1.64
,,2017 - 2018,,,,,,,242.0,264.5,1.09,6.0,5.0,0.83,,,,17.0,16.4,0.96
,,2018 - 2019,,,,,,,560.0,511.8,0.91,5.0,4.4,0.88,,,,,,
,,2019 - 2020,,,,,,,494.0,419.4,0.85,1.0,0.7,0.7,,,,,,
,,2020 - 2021,,,,,,,745.0,775.5,1.04,190.0,170.6,0.9,,,,,,
,,2021 - 2022,,,,,,,,,0.87,82.0,84.4,1.03,,,,,,
,,2022 - 2023,,,,,,,,,1.0,137.0,141.7,1.03,,,,141.0,155.0,1.1
,Jagatsinghapur,2003 - 2004,1.0,0.5,0.5,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,1.0,0.6,0.6,,,,,,
,,2007 - 2008,,,,,,,,,,1.0,1.1,1.1,,,,,,
,,2008 - 2009,,,,,,,,,,1.0,1.1,1.1,,,,,,
,,2014 - 2015,,,,,,,,,,,,,,,,1.0,0.6,0.6
,Jharsuguda,2000 - 2001,4.0,1.0,0.25,,,,,,,,,,,,,,,
,,2001 - 2002,2.0,0.5,0.25,,,,,,,,,,,,,,,
,,2002 - 2003,1.0,,0.0,,,,,,,,,,,,,,,
,,2003 - 2004,1.0,0.2,0.2,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,2.0,0.9,0.45,,,,,,,,,
,,2006 - 2007,,,,,,,1.0,0.8,0.8,,,,,,,,,
,,2007 - 2008,,,,,,,2.0,0.8,0.4,,,,,,,,,
,,2008 - 2009,,,,,,,3.0,1.9,0.63,,,,,,,,,
,,2009 - 2010,,,,,,,1.0,0.5,0.5,,,,,,,1.0,0.5,0.5
,,2010 - 2011,,,,,,,2.0,0.8,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,2.0,0.9,0.45,,,,,,,,,
,,2017 - 2018,,,,,,,12.0,2.0,0.17,1.0,0.1,0.1,,,,,,
,,2021 - 2022,,,,,,,6.0,3.1,0.52,,,,,,,,,
,,2022 - 2023,,,,,,,107.0,75.8,0.71,,,,,,,22.0,12.9,0.59
,Kalahandi,2000 - 2001,,,0.43,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.41,,,,,,,,,,,,,,,
,,2002 - 2003,,577.3,0.29,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.41,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,605.0,295.8,0.49,14.0,0.6,0.04,,,,,454.1,0.4
,,2005 - 2006,,,,,,,731.0,276.3,0.38,,,,,,,,651.3,0.41
,,2006 - 2007,,,,,,,751.0,316.2,0.42,,,,,,,831.0,338.2,0.41
,,2007 - 2008,,,,,,,930.0,401.8,0.43,,,,,,,830.0,342.8,0.41
,,2008 - 2009,,,,,,,712.0,329.7,0.46,,,,,,,538.0,249.1,0.46
,,2009 - 2010,,,,,,,622.0,293.6,0.47,,,,,,,807.0,429.3,0.53
,,2010 - 2011,,,,,,,732.0,420.2,0.57,,,,,,,823.0,363.8,0.44
,,2011 - 2012,,,,,,,391.0,176.0,0.45,,,,,,,816.0,283.2,0.35
,,2012 - 2013,,,,,,,417.0,219.8,0.53,,,,,,,825.0,386.9,0.47
,,2013 - 2014,,,,,,,383.0,183.8,0.48,,,,,,,766.0,402.9,0.53
,,2014 - 2015,,,,,,,412.0,208.9,0.51,,,,,,,564.0,277.5,0.49
,,2015 - 2016,,,,,,,318.0,98.3,0.31,,,,,,,696.0,254.7,0.37
,,2016 - 2017,,,,,,,,664.1,0.5,,,,,,,532.0,296.3,0.56
,,2017 - 2018,,,,,,,452.0,259.9,0.58,,,,,,,671.0,348.2,0.52
,,2018 - 2019,,,,,,,93.0,29.9,0.32,,,,,,,,743.7,0.59
,,2019 - 2020,,,,,,,14.0,8.1,0.58,,,,,,,,484.4,0.46
,,2020 - 2021,,,,,,,133.0,46.8,0.35,,,,,,,,,0.71
,,2021 - 2022,,,,,,,67.0,23.1,0.34,,,,,,,,,0.73
,,2022 - 2023,,,,,,,177.0,98.8,0.56,,,,,,,906.0,414.9,0.46
,Kandhamal,2000 - 2001,275.0,120.8,0.44,,,,,,,,,,,,,,,
,,2001 - 2002,181.0,70.2,0.39,,,,,,,,,,,,,,,
,,2002 - 2003,133.0,46.1,0.35,,,,,,,,,,,,,,,
,,2003 - 2004,79.0,24.2,0.31,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,77.0,40.7,0.53,1.0,2.9,2.9,,,,41.0,13.3,0.32
